Data from https://doi.org/10.1002/adma.202008076
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
287.3	1070.87
287.4	1071.16
287.5	1071.44
287.6	1071.73
287.7	1072.02
287.8	1072.31
287.9	1072.6
288	1072.88
288.1	1073.17
288.2	1073.46
288.3	1073.75
288.4	1074.04
288.5	1074.32
288.6	1074.61
288.7	1074.9
288.8	1075.19
288.9	1075.48
289	1075.76
289.1	1076.05
289.2	1076.34
289.3	1076.63
289.4	1076.92
289.5	1077.2
289.6	1077.49
289.7	1077.78
289.8	1078.07
289.9	1078.36
290	1078.64
290.1	1078.93
290.2	1079.22
290.3	1079.51
290.4	1079.8
290.5	1080.08
290.6	1080.37
290.7	1080.66
290.8	1080.95
290.9	1081.24
291	1081.52
291.1	1081.81
291.2	1082.1
291.3	1082.39
291.4	1082.68
291.5	1082.96
291.6	1083.25
291.7	1083.54
291.8	1083.83
291.9	1084.12
292	1084.4
292.1	1084.69
292.2	1084.98
292.3	1085.27
292.4	1085.56
292.5	1085.84
292.6	1086.13
292.7	1086.42
292.8	1086.71
292.9	1087
293	1087.28
293.1	1087.57
293.2	1087.86
293.3	1088.15
293.4	1088.44
293.5	1088.72
293.6	1089.01
293.7	1089.3
293.8	1089.59
293.9	1089.88
294	1090.16
294.1	1090.45
294.2	1090.74
294.3	1091.03
294.4	1091.32
294.5	1091.6
294.6	1091.89
294.7	1092.18
294.8	1092.47
294.9	1092.76
295	1093.04
295.1	1093.33
295.2	1093.62
295.3	1093.91
295.4	1094.2
295.5	1094.48
295.6	1094.77
295.7	1095.06
295.8	1095.35
295.9	1095.64
296	1095.92
296.1	1096.21
296.2	1096.5
296.3	1096.79
296.4	1097.08
296.5	1097.36
296.6	1097.65
296.7	1097.94
296.8	1098.23
296.9	1098.52
297	1098.8
297.1	1099.09
297.2	1099.38
297.3	1099.67
297.4	1099.96
297.5	1100.24
297.6	1100.53
297.7	1100.82
297.8	1101.11
297.9	1101.4
298	1101.68
298.1	1101.97
298.2	1102.26
298.3	1102.55
298.4	1102.84
298.5	1103.12
298.6	1103.41
298.7	1103.7
298.8	1103.99
298.9	1104.28
299	1104.56
299.1	1104.85
299.2	1105.14
299.3	1105.43
299.4	1105.72
299.5	1106
299.6	1106.29
299.7	1106.58
299.8	1106.87
299.9	1107.16
300	1107.44
300.1	1107.73
300.2	1108.02
300.3	1108.31
300.4	1108.6
300.5	1108.88
300.6	1109.17
300.7	1109.46
300.8	1109.75
300.9	1110.04
301	1110.32
301.1	1110.61
301.2	1110.9
301.3	1111.19
301.4	1111.48
301.5	1111.76
301.6	1112.05
301.7	1112.34
301.8	1112.63
301.9	1112.92
302	1113.2
302.1	1113.49
302.2	1113.78
302.3	1114.07
302.4	1114.36
302.5	1114.64
302.6	1114.93
302.7	1115.22
302.8	1115.51
302.9	1115.8
303	1116.08
303.1	1116.37
303.2	1116.66
303.3	1116.95
303.4	1117.24
303.5	1117.52
303.6	1117.81
303.7	1118.1
303.8	1118.39
