0.0000		255			 256			 257			 258			 259			 260			 261			 262			 263			 264			 265			 266			 267			 268			 269			 270			 271			 272			 273			 274			 275			 276			 277			 278			 279			 280			 281			 282			 283			 284			 285			 286			 287			 288			 289			 290			 291			 292			 293			 294			 295			 296			 297			 298			 299			 300			 301			 302			 303			 304			 305			 306			 307			 308			 
 0.000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		  0.0000		
 0.010		  0.0063		  0.0067		  0.0069		  0.0073		  0.0076		  0.0080		  0.0084		  0.0165		  0.0164		  0.0174		  0.0177		  0.0180		  0.0193		  0.0204		  0.0211		  0.0223		  0.0232		  0.0253		  0.0264		  0.0285		  0.0306		  0.0320		  0.0316		  0.0279		  0.0229		  0.0186		  0.0147		  0.0117		  0.0092		  0.0074		  0.0060		  0.0048		  0.0042		  0.0048		  0.0041		  0.0036		  0.0031		  0.0026		  0.0023		  0.0022		  0.0026		  0.0023		  0.0020		  0.0018		  0.0017		  0.0015		  0.0023		  0.0022		  0.0020		  0.0019		  0.0019		  0.0019		  0.0019		     NaN		
 0.020		  0.0126		  0.0133		  0.0137		  0.0145		  0.0153		  0.0161		  0.0168		  0.0330		  0.0329		  0.0347		  0.0353		  0.0360		  0.0386		  0.0408		  0.0422		  0.0447		  0.0464		  0.0506		  0.0528		  0.0570		  0.0613		  0.0639		  0.0633		  0.0558		  0.0457		  0.0372		  0.0293		  0.0233		  0.0184		  0.0148		  0.0120		  0.0097		  0.0083		  0.0097		  0.0082		  0.0071		  0.0062		  0.0053		  0.0047		  0.0043		  0.0051		  0.0045		  0.0041		  0.0036		  0.0035		  0.0031		  0.0047		  0.0044		  0.0039		  0.0037		  0.0037		  0.0037		  0.0037		     NaN		
 0.030		  0.0189		  0.0200		  0.0206		  0.0218		  0.0229		  0.0241		  0.0252		  0.0495		  0.0493		  0.0521		  0.0530		  0.0540		  0.0579		  0.0612		  0.0633		  0.0670		  0.0696		  0.0760		  0.0792		  0.0855		  0.0919		  0.0959		  0.0949		  0.0838		  0.0686		  0.0558		  0.0440		  0.0350		  0.0276		  0.0222		  0.0180		  0.0145		  0.0125		  0.0145		  0.0124		  0.0107		  0.0093		  0.0079		  0.0070		  0.0065		  0.0077		  0.0068		  0.0061		  0.0055		  0.0052		  0.0046		  0.0070		  0.0066		  0.0059		  0.0056		  0.0056		  0.0056		  0.0056		     NaN		
 0.040		  0.0252		  0.0266		  0.0275		  0.0291		  0.0305		  0.0322		  0.0336		  0.0660		  0.0658		  0.0694		  0.0707		  0.0720		  0.0772		  0.0816		  0.0844		  0.0894		  0.0928		  0.1013		  0.1057		  0.1140		  0.1225		  0.1279		  0.1266		  0.1117		  0.0915		  0.0744		  0.0587		  0.0466		  0.0368		  0.0296		  0.0241		  0.0194		  0.0167		  0.0193		  0.0165		  0.0142		  0.0124		  0.0106		  0.0094		  0.0086		  0.0102		  0.0091		  0.0082		  0.0073		  0.0070		  0.0062		  0.0094		  0.0087		  0.0079		  0.0074		  0.0074		  0.0074		  0.0074		     NaN		
 0.050		  0.0314		  0.0333		  0.0343		  0.0363		  0.0381		  0.0402		  0.0420		  0.0825		  0.0822		  0.0868		  0.0884		  0.0900		  0.0965		  0.1019		  0.1055		  0.1117		  0.1160		  0.1266		  0.1321		  0.1425		  0.1531		  0.1598		  0.1582		  0.1396		  0.1143		  0.0930		  0.0733		  0.0583		  0.0460		  0.0370		  0.0301		  0.0242		  0.0208		  0.0241		  0.0206		  0.0178		  0.0155		  0.0132		  0.0117		  0.0108		  0.0128		  0.0113		  0.0102		  0.0091		  0.0087		  0.0077		  0.0117		  0.0109		  0.0099		  0.0093		  0.0093		  0.0093		  0.0093		     NaN		
 0.060		  0.0377		  0.0400		  0.0412		  0.0436		  0.0458		  0.0482		  0.0503		  0.0990		  0.0987		  0.1042		  0.1060		  0.1080		  0.1158		  0.1223		  0.1266		  0.1341		  0.1393		  0.1519		  0.1585		  0.1709		  0.1838		  0.1918		  0.1899		  0.1675		  0.1372		  0.1116		  0.0880		  0.0699		  0.0552		  0.0444		  0.0361		  0.0291		  0.0250		  0.0290		  0.0247		  0.0213		  0.0185		  0.0158		  0.0140		  0.0130		  0.0153		  0.0136		  0.0123		  0.0109		  0.0105		  0.0092		  0.0140		  0.0131		  0.0118		  0.0111		  0.0111		  0.0111		  0.0111		     NaN		
 0.070		  0.0440		  0.0466		  0.0481		  0.0509		  0.0534		  0.0563		  0.0587		  0.1078		  0.1107		  0.1206		  0.1237		  0.1260		  0.1351		  0.1427		  0.1477		  0.1564		  0.1625		  0.1773		  0.1849		  0.1994		  0.2144		  0.2237		  0.2215		  0.1955		  0.1601		  0.1301		  0.1026		  0.0816		  0.0644		  0.0518		  0.0421		  0.0339		  0.0292		  0.0338		  0.0289		  0.0249		  0.0216		  0.0185		  0.0164		  0.0151		  0.0179		  0.0159		  0.0143		  0.0128		  0.0122		  0.0108		  0.0164		  0.0153		  0.0138		  0.0130		  0.0130		  0.0130		  0.0130		     NaN		
 0.080		  0.0503		  0.0533		  0.0549		  0.0581		  0.0610		  0.0643		  0.0671		  0.1150		  0.1180		  0.1286		  0.1356		  0.1426		  0.1544		  0.1631		  0.1688		  0.1787		  0.1857		  0.2026		  0.2113		  0.2279		  0.2450		  0.2557		  0.2532		  0.2234		  0.1829		  0.1487		  0.1173		  0.0933		  0.0736		  0.0592		  0.0481		  0.0388		  0.0333		  0.0386		  0.0330		  0.0284		  0.0247		  0.0211		  0.0187		  0.0173		  0.0205		  0.0181		  0.0164		  0.0146		  0.0139		  0.0123		  0.0187		  0.0175		  0.0158		  0.0148		  0.0148		  0.0148		  0.0148		     NaN		
 0.090		  0.0566		  0.0599		  0.0618		  0.0654		  0.0687		  0.0724		  0.0755		  0.1221		  0.1253		  0.1365		  0.1444		  0.1522		  0.1685		  0.1835		  0.1899		  0.2011		  0.2089		  0.2279		  0.2377		  0.2564		  0.2756		  0.2877		  0.2848		  0.2513		  0.2058		  0.1673		  0.1320		  0.1049		  0.0828		  0.0666		  0.0541		  0.0436		  0.0375		  0.0434		  0.0371		  0.0320		  0.0278		  0.0238		  0.0211		  0.0194		  0.0230		  0.0204		  0.0184		  0.0164		  0.0157		  0.0138		  0.0210		  0.0197		  0.0178		  0.0167		  0.0167		  0.0167		  0.0167		     NaN		
