%H field first colomn	Temp row	Ds array	Corrected for demagnetization using the Anaroni demagnetization factor	 NaN means no data
0.0000		127.28			177.41			207.57			217.43			227.33			237.14			244.46			249.40			252.86			254.84			256.82			258.80			260.78			262.28			263.30			264.32			265.34			266.34			267.36			268.39			269.37			270.35			271.32			272.33			273.33			274.33			275.36			276.35			277.35			278.34			279.32			280.30			281.28			282.76			284.72			286.68			288.66			290.65			292.61			294.56			296.49			298.39			300.31			303.72			308.59			
 0.110		 -0.0125		 -0.0184		 -0.0216		 -0.0291		 -0.0384		 -0.0483		 -0.0587		 -0.0751		 -0.0914		 -0.1060		 -0.1204		 -0.1360		 -0.1525		 -0.1723		 -0.1941		 -0.2173		 -0.2424		 -0.2818		 -0.3199		 -0.4808		 -0.4848		 -0.4606		 -0.4979		 -0.7043		 -0.7781		 -0.8370		 -0.8381		 -0.7838		 -0.6743		 -0.5341		 -0.3847		 -0.2777		 -0.1840		 -0.1163		 -0.0666		 -0.0453		 -0.0273		 -0.0150		 -0.0158		 -0.0104		 -0.0079		 -0.0046		 -0.0042		 -0.0036		     NaN		
 0.120		 -0.0137		 -0.0202		 -0.0239		 -0.0321		 -0.0422		 -0.0530		 -0.0647		 -0.0824		 -0.1001		 -0.1162		 -0.1321		 -0.1496		 -0.1677		 -0.1896		 -0.2134		 -0.2392		 -0.2662		 -0.3087		 -0.3510		 -0.5172		 -0.5262		 -0.5098		 -0.5558		 -0.7696		 -0.8489		 -0.9128		 -0.9141		 -0.8554		 -0.7389		 -0.5898		 -0.4300		 -0.3125		 -0.2097		 -0.1343		 -0.0788		 -0.0529		 -0.0322		 -0.0182		 -0.0181		 -0.0121		 -0.0093		 -0.0056		 -0.0050		 -0.0042		     NaN		
 0.130		 -0.0149		 -0.0220		 -0.0262		 -0.0350		 -0.0460		 -0.0578		 -0.0707		 -0.0897		 -0.1088		 -0.1263		 -0.1438		 -0.1631		 -0.1829		 -0.2068		 -0.2327		 -0.2611		 -0.2901		 -0.3354		 -0.3820		 -0.5534		 -0.5671		 -0.5585		 -0.6133		 -0.8342		 -0.9191		 -0.9879		 -0.9894		 -0.9265		 -0.8033		 -0.6457		 -0.4760		 -0.3482		 -0.2362		 -0.1531		 -0.0915		 -0.0610		 -0.0373		 -0.0217		 -0.0206		 -0.0139		 -0.0107		 -0.0067		 -0.0059		 -0.0048		     NaN		
 0.140		 -0.0161		 -0.0239		 -0.0285		 -0.0380		 -0.0498		 -0.0625		 -0.0766		 -0.0970		 -0.1175		 -0.1365		 -0.1555		 -0.1766		 -0.1980		 -0.2238		 -0.2519		 -0.2827		 -0.3139		 -0.3619		 -0.4129		 -0.5893		 -0.6076		 -0.6066		 -0.6705		 -0.8980		 -0.9886		 -1.0622		 -1.0642		 -0.9973		 -0.8676		 -0.7016		 -0.5225		 -0.3845		 -0.2632		 -0.1727		 -0.1049		 -0.0695		 -0.0429		 -0.0255		 -0.0232		 -0.0159		 -0.0123		 -0.0079		 -0.0068		 -0.0055		     NaN		
 0.150		 -0.0173		 -0.0257		 -0.0308		 -0.0410		 -0.0536		 -0.0672		 -0.0826		 -0.1043		 -0.1262		 -0.1466		 -0.1672		 -0.1900		 -0.2131		 -0.2407		 -0.2710		 -0.3042		 -0.3376		 -0.3884		 -0.4438		 -0.6251		 -0.6477		 -0.6541		 -0.7271		 -0.9610		 -1.0574		 -1.1358		 -1.1385		 -1.0677		 -0.9319		 -0.7577		 -0.5695		 -0.4213		 -0.2908		 -0.1929		 -0.1188		 -0.0786		 -0.0488		 -0.0295		 -0.0261		 -0.0181		 -0.0139		 -0.0092		 -0.0078		 -0.0062		     NaN		
 0.160		 -0.0185		 -0.0276		 -0.0331		 -0.0439		 -0.0573		 -0.0719		 -0.0886		 -0.1115		 -0.1349		 -0.1567		 -0.1789		 -0.2033		 -0.2281		 -0.2574		 -0.2900		 -0.3256		 -0.3612		 -0.4148		 -0.4746		 -0.6606		 -0.6874		 -0.7011		 -0.7831		 -1.0233		 -1.1255		 -1.2087		 -1.2124		 -1.1378		 -0.9961		 -0.8139		 -0.6170		 -0.4587		 -0.3189		 -0.2138		 -0.1332		 -0.0881		 -0.0550		 -0.0337		 -0.0291		 -0.0203		 -0.0157		 -0.0106		 -0.0089		 -0.0070		     NaN		
 0.170		 -0.0197		 -0.0294		 -0.0354		 -0.0469		 -0.0611		 -0.0766		 -0.0945		 -0.1188		 -0.1436		 -0.1668		 -0.1905		 -0.2166		 -0.2432		 -0.2740		 -0.3090		 -0.3469		 -0.3847		 -0.4411		 -0.5052		 -0.6960		 -0.7268		 -0.7475		 -0.8386		 -1.0849		 -1.1929		 -1.2808		 -1.2857		 -1.2076		 -1.0601		 -0.8703		 -0.6651		 -0.4968		 -0.3476		 -0.2354		 -0.1481		 -0.0980		 -0.0615		 -0.0382		 -0.0323		 -0.0228		 -0.0176		 -0.0121		 -0.0100		 -0.0079		     NaN		
 0.180		 -0.0209		 -0.0312		 -0.0377		 -0.0499		 -0.0649		 -0.0814		 -0.1004		 -0.1260		 -0.1523		 -0.1769		 -0.2022		 -0.2299		 -0.2581		 -0.2905		 -0.3278		 -0.3680		 -0.4082		 -0.4674		 -0.5357		 -0.7311		 -0.7661		 -0.7934		 -0.8934		 -1.1459		 -1.2598		 -1.3520		 -1.3585		 -1.2770		 -1.1241		 -0.9267		 -0.7136		 -0.5355		 -0.3768		 -0.2575		 -0.1635		 -0.1083		 -0.0684		 -0.0429		 -0.0358		 -0.0253		 -0.0196		 -0.0136		 -0.0112		 -0.0088		     NaN		
 0.190		 -0.0220		 -0.0331		 -0.0401		 -0.0529		 -0.0687		 -0.0861		 -0.1064		 -0.1333		 -0.1609		 -0.1870		 -0.2138		 -0.2431		 -0.2731		 -0.3070		 -0.3466		 -0.3890		 -0.4317		 -0.4938		 -0.5660		 -0.7660		 -0.8054		 -0.8390		 -0.9475		 -1.2063		 -1.3262		 -1.4224		 -1.4307		 -1.3462		 -1.1880		 -0.9832		 -0.7624		 -0.5747		 -0.4065		 -0.2801		 -0.1793		 -0.1190		 -0.0756		 -0.0478		 -0.0393		 -0.0280		 -0.0218		 -0.0153		 -0.0125		 -0.0097		     NaN		
 0.200		 -0.0232		 -0.0349		 -0.0424		 -0.0559		 -0.0725		 -0.0908		 -0.1123		 -0.1405		 -0.1696		 -0.1971		 -0.2254		 -0.2562		 -0.2879		 -0.3235		 -0.3652		 -0.4099		 -0.4551		 -0.5201		 -0.5962		 -0.8007		 -0.8446		 -0.8842		 -1.0010		 -1.2661		 -1.3920		 -1.4922		 -1.5023		 -1.4151		 -1.2518		 -1.0398		 -0.8114		 -0.6144		 -0.4367		 -0.3034		 -0.1956		 -0.1301		 -0.0831		 -0.0529		 -0.0431		 -0.0309		 -0.0240		 -0.0170		 -0.0139		 -0.0107		     NaN		
