%H field first colomn	Temp row	Ds array	Corrected for demagnetization using the Anaroni demagnetization factor	 NaN means no data
0.0000		127.53			177.33			212.09			226.94			236.73			246.55			256.55			262.58			264.61			266.59			268.53			270.50			272.51			274.52			276.01			277.01			278.03			279.02			280.02			281.05			282.04			283.07			284.00			284.88			285.87			286.89			287.89			288.89			289.90			290.93			291.90			292.85			293.82			294.81			295.78			296.78			297.77			298.75			299.74			300.71			301.70			303.20			305.14			308.47			313.25			318.12			
 0.110		 -0.0098		 -0.0148		 -0.0202		 -0.0247		 -0.0353		 -0.0449		 -0.0561		 -0.0697		 -0.0859		 -0.0970		 -0.1099		 -0.1297		 -0.1481		 -0.1779		 -0.1914		 -0.2147		 -0.2327		 -0.2577		 -0.2946		 -0.3414		 -0.3774		 -0.4102		 -0.5004		 -0.5497		 -0.6051		 -0.6447		 -0.7217		 -0.6814		 -0.6566		 -0.5789		 -0.5038		 -0.3715		 -0.2881		 -0.1914		 -0.1420		 -0.0951		 -0.0792		 -0.0554		 -0.0436		 -0.0348		 -0.0340		 -0.0191		 -0.0162		 -0.0108		 -0.0061		  0.0006		
 0.120		 -0.0108		 -0.0164		 -0.0222		 -0.0274		 -0.0388		 -0.0495		 -0.0619		 -0.0769		 -0.0947		 -0.1070		 -0.1213		 -0.1427		 -0.1632		 -0.1945		 -0.2107		 -0.2361		 -0.2564		 -0.2839		 -0.3251		 -0.3752		 -0.4148		 -0.4516		 -0.5488		 -0.6014		 -0.6618		 -0.7040		 -0.7869		 -0.7427		 -0.7189		 -0.6359		 -0.5566		 -0.4127		 -0.3246		 -0.2183		 -0.1632		 -0.1111		 -0.0926		 -0.0650		 -0.0514		 -0.0410		 -0.0391		 -0.0229		 -0.0191		 -0.0127		 -0.0072		 -0.0000		
 0.130		 -0.0117		 -0.0179		 -0.0243		 -0.0301		 -0.0424		 -0.0542		 -0.0678		 -0.0841		 -0.1035		 -0.1170		 -0.1325		 -0.1558		 -0.1783		 -0.2113		 -0.2303		 -0.2575		 -0.2801		 -0.3103		 -0.3554		 -0.4086		 -0.4520		 -0.4925		 -0.5968		 -0.6526		 -0.7179		 -0.7628		 -0.8518		 -0.8034		 -0.7808		 -0.6928		 -0.6093		 -0.4539		 -0.3617		 -0.2459		 -0.1851		 -0.1279		 -0.1068		 -0.0752		 -0.0596		 -0.0476		 -0.0444		 -0.0270		 -0.0222		 -0.0148		 -0.0084		 -0.0007		
 0.140		 -0.0127		 -0.0195		 -0.0263		 -0.0328		 -0.0460		 -0.0589		 -0.0737		 -0.0913		 -0.1123		 -0.1270		 -0.1437		 -0.1690		 -0.1932		 -0.2281		 -0.2501		 -0.2789		 -0.3038		 -0.3369		 -0.3854		 -0.4414		 -0.4891		 -0.5330		 -0.6445		 -0.7035		 -0.7737		 -0.8213		 -0.9162		 -0.8638		 -0.8423		 -0.7494		 -0.6616		 -0.4954		 -0.3989		 -0.2741		 -0.2077		 -0.1454		 -0.1218		 -0.0859		 -0.0684		 -0.0547		 -0.0501		 -0.0313		 -0.0254		 -0.0170		 -0.0097		 -0.0014		
 0.150		 -0.0137		 -0.0210		 -0.0284		 -0.0355		 -0.0496		 -0.0636		 -0.0795		 -0.0986		 -0.1211		 -0.1369		 -0.1549		 -0.1821		 -0.2079		 -0.2450		 -0.2702		 -0.3001		 -0.3274		 -0.3636		 -0.4151		 -0.4737		 -0.5261		 -0.5731		 -0.6918		 -0.7541		 -0.8294		 -0.8797		 -0.9801		 -0.9239		 -0.9035		 -0.8055		 -0.7134		 -0.5370		 -0.4363		 -0.3028		 -0.2310		 -0.1637		 -0.1374		 -0.0973		 -0.0777		 -0.0622		 -0.0561		 -0.0360		 -0.0289		 -0.0194		 -0.0111		 -0.0022		
 0.160		 -0.0147		 -0.0225		 -0.0305		 -0.0382		 -0.0532		 -0.0683		 -0.0853		 -0.1059		 -0.1300		 -0.1469		 -0.1660		 -0.1953		 -0.2225		 -0.2617		 -0.2904		 -0.3212		 -0.3509		 -0.3903		 -0.4446		 -0.5055		 -0.5631		 -0.6130		 -0.7387		 -0.8044		 -0.8850		 -0.9379		 -1.0436		 -0.9837		 -0.9644		 -0.8611		 -0.7650		 -0.5787		 -0.4739		 -0.3319		 -0.2548		 -0.1826		 -0.1537		 -0.1091		 -0.0875		 -0.0701		 -0.0624		 -0.0409		 -0.0325		 -0.0220		 -0.0126		 -0.0030		
 0.170		 -0.0157		 -0.0241		 -0.0326		 -0.0409		 -0.0568		 -0.0731		 -0.0912		 -0.1131		 -0.1389		 -0.1568		 -0.1771		 -0.2084		 -0.2372		 -0.2784		 -0.3106		 -0.3421		 -0.3745		 -0.4169		 -0.4739		 -0.5369		 -0.6001		 -0.6528		 -0.7853		 -0.8545		 -0.9405		 -0.9957		 -1.1064		 -1.0432		 -1.0249		 -0.9163		 -0.8164		 -0.6207		 -0.5116		 -0.3614		 -0.2793		 -0.2021		 -0.1704		 -0.1214		 -0.0977		 -0.0785		 -0.0690		 -0.0460		 -0.0364		 -0.0247		 -0.0141		 -0.0039		
 0.180		 -0.0167		 -0.0256		 -0.0347		 -0.0437		 -0.0604		 -0.0778		 -0.0971		 -0.1204		 -0.1477		 -0.1667		 -0.1882		 -0.2215		 -0.2519		 -0.2950		 -0.3309		 -0.3629		 -0.3981		 -0.4434		 -0.5030		 -0.5683		 -0.6370		 -0.6924		 -0.8315		 -0.9041		 -0.9956		 -1.0532		 -1.1683		 -1.1024		 -1.0852		 -0.9710		 -0.8676		 -0.6631		 -0.5496		 -0.3914		 -0.3043		 -0.2221		 -0.1874		 -0.1342		 -0.1083		 -0.0873		 -0.0758		 -0.0514		 -0.0404		 -0.0276		 -0.0158		 -0.0049		
 0.190		 -0.0177		 -0.0272		 -0.0368		 -0.0464		 -0.0641		 -0.0825		 -0.1031		 -0.1276		 -0.1565		 -0.1766		 -0.1993		 -0.2345		 -0.2667		 -0.3115		 -0.3511		 -0.3837		 -0.4217		 -0.4699		 -0.5321		 -0.5996		 -0.6737		 -0.7317		 -0.8772		 -0.9535		 -1.0503		 -1.1104		 -1.2294		 -1.1613		 -1.1450		 -1.0254		 -0.9187		 -0.7062		 -0.5879		 -0.4220		 -0.3297		 -0.2424		 -0.2047		 -0.1474		 -0.1194		 -0.0964		 -0.0831		 -0.0571		 -0.0446		 -0.0306		 -0.0175		 -0.0059		
 0.200		 -0.0187		 -0.0287		 -0.0389		 -0.0492		 -0.0677		 -0.0871		 -0.1090		 -0.1348		 -0.1652		 -0.1864		 -0.2105		 -0.2476		 -0.2814		 -0.3280		 -0.3712		 -0.4045		 -0.4454		 -0.4963		 -0.5610		 -0.6309		 -0.7104		 -0.7707		 -0.9227		 -1.0026		 -1.1047		 -1.1671		 -1.2899		 -1.2199		 -1.2044		 -1.0795		 -0.9698		 -0.7498		 -0.6264		 -0.4532		 -0.3556		 -0.2631		 -0.2223		 -0.1611		 -0.1308		 -0.1059		 -0.0906		 -0.0631		 -0.0491		 -0.0338		 -0.0194		 -0.0069		
