%H field first colomn	Temp row	Mag data array
0.0000		102.6146		152.4444		202.2083		221.9699		231.9181		241.5342		251.5599		261.5437		263.6086		265.6192		267.5523		269.5070		271.5022		273.5090		275.5229		276.4943		277.5233		278.5329		279.4982		280.5410		281.5499		282.5383		283.5953		284.4061		285.3527		286.3958		287.3764		288.4134		289.3740		290.4324		291.4180		292.3854		293.3063		294.3262		295.2851		296.2768		297.2735		298.2630		299.2446		300.2282		301.1972		302.2010		304.1981		306.0847		310.8511		315.6537		320.5901		
0.0100		976604.0503		913536.4804		869845.8459		839258.2206		821045.7338		804787.6496		809286.3026		732331.9209		724793.7701		710724.3793		689366.3353		683094.5080		660647.5769		647245.4340		618630.8158		609514.2617		587094.9899		572997.5940		558741.3210		535531.2386		518922.7265		480863.6981		451200.5118		424439.1569		402521.1278		335648.5654		284447.3166		226830.0266		161548.9318		90684.3238		55814.6101		29327.4609		17365.5060		15022.0698		9333.1734		7570.7107		6086.6089		5222.3309		5451.2197		4041.3069		3546.5363		6008.9688		2746.1830		2415.3473		2666.5556		-128.4756		1674.3606		
0.0200		959932.3139		929702.2648		897612.2065		855807.1888		835428.5833		815446.8648		817103.3079		746850.7055		738536.7223		726293.6947		713648.9368		698333.0516		675297.6735		663059.7093		631819.4846		623342.2311		607025.1802		585150.7014		573104.7159		551192.3218		538294.8325		497641.3666		466841.0269		439142.0638		439723.3765		349284.5580		299357.6440		242553.5014		193323.9692		120237.6602		79121.3224		45817.3729		35344.8719		24333.5314		18757.2087		14193.7591		11667.5505		10022.6859		19828.7343		7476.2813		6578.2510		6355.7450		5027.0168		4321.3866		8224.7900		-2453.0158		-288.5329		
0.0300		976546.6253		942775.2340		896805.3803		868518.7752		848221.7450		828179.1971		806931.5945		755688.3340		749861.7768		737948.8566		725008.1684		709985.0232		690571.1378		674734.6479		647679.6971		634392.2759		615164.3559		597837.7120		584056.2951		564509.2382		539993.9682		510253.4633		475898.4061		452341.3721		425741.0187		360987.5817		309823.6352		256464.7735		211741.3663		144950.0335		99494.3496		61910.2829		50764.7284		34708.0372		27255.4688		20584.4216		17169.8491		14571.9578		21748.0484		10963.0348		9819.2125		8786.5861		7297.7396		6296.4158		10837.8575		-1910.0469		3184.1849		
0.0400		987925.3849		953982.1083		906036.3093		878859.2283		860120.6467		840219.4998		812356.2401		768631.2720		759629.2962		748096.3730		734696.5728		719942.0707		703150.6669		683337.5900		659180.7356		642782.7843		621685.4676		610095.9526		591839.1251		572878.2767		548415.7475		518155.8205		484214.3197		462034.9081		426601.2925		372313.2943		319269.7370		268270.6525		224680.4340		162096.3575		118479.5122		77701.6515		62551.7875		44239.2004		35267.7070		26931.6527		22632.3796		19176.6518		18219.6412		14476.8348		12961.3706		11583.3000		9558.5090		8252.4960		11322.1527		1383.8124		4154.9537		
0.0500		998371.6484		964749.9921		914462.6849		887711.0344		870342.8598		848802.4674		820680.4256		778903.6908		767868.0390		756519.2899		742804.3111		727887.2207		710668.7758		690213.6782		665260.1328		649981.4768		628386.8430		619706.2434		600092.1314		580157.0555		555709.3567		525115.1947		491864.8351		468985.8632		434635.2031		382673.4389		328742.6338		278232.0995		235428.7790		175245.0668		134891.5796		93368.5289		71790.9873		53178.6719		43000.5436		33226.0245		27970.9891		23813.7834		20760.1416		17896.7400		16041.0739		14289.3272		11816.0053		10183.7350		10710.7835		5503.2592		5118.5779		
0.0600		1007509.8491		974797.4929		922365.1919		895437.8058		877616.4447		856141.5292		827050.3529		786270.4410		774568.2345		763251.0174		749564.4107		733628.2003		717199.1281		696223.8497		670239.1619		656750.8906		635045.6926		626791.0363		606931.3994		586824.9332		561800.1059		531614.1029		499008.4344		475014.3887		440456.8336		389121.9157		337950.9845		286999.4526		245123.7074		186322.2484		147053.1066		105804.6235		80987.1175		61638.5288		50670.0691		39398.9218		33074.6955		28342.3446		24690.5467		21236.5847		19123.2013		16984.5187		14070.2825		12122.7379		10054.0267		7187.5176		6075.3872		
0.0700		1015327.6213		982228.4931		929984.8006		902040.0688		883767.3426		862592.6274		833515.7869		792219.4799		780328.9505		768677.3008		755908.0685		738250.2875		722839.8074		701638.8986		675424.7087		663036.4372		641567.7525		631191.3781		612087.5405		593104.9143		567784.5502		537543.3667		505945.8644		480468.7527		445791.6039		395662.7275		346665.2402		295286.1534		254341.5356		196113.7206		156992.9357		115717.5876		90089.9907		70045.2410		57706.6404		45350.0951		38079.7132		32687.0898		28446.9574		24552.2040		22184.6275		19674.5436		16328.7063		14059.0440		10410.4696		8339.4224		7028.2998		
0.0800		1022398.2849		988491.9190		937523.4449		908246.2261		889371.3339		868510.4886		839378.4607		797302.6918		785472.8978		773741.8432		760970.2028		742959.0721		727920.2666		706404.4104		681445.8142		667623.4203		647920.8768		635652.6018		617005.1925		597769.4019		572926.2327		542850.4608		511986.8151		485451.2547		451230.6817		401248.5259		354756.6019		303273.8804		263698.5235		205643.7335		166109.9093		125119.1546		99001.3309		78147.8684		64390.3665		51040.3598		42966.4045		36839.7306		32174.9881		27856.8409		25207.2885		22340.8421		18582.3924		15985.6401		11825.9921		9473.3529		7976.9116		
0.0900		1028592.5053		994131.2337		942901.5183		913296.2764		895070.0311		872744.0160		844250.7793		802144.1225		790222.5978		778685.3821		765689.4012		747582.7410		732244.2800		710659.8087		686237.3547		672062.9694		654116.1873		639869.6258		621800.4922		601501.5274		577735.5482		547350.2000		516799.1026		490280.4974		456822.7706		405810.9019		362086.8920		310969.4766		272197.8104		213830.5531		175038.4611		133747.7005		107651.6856		85110.4968		70853.6476		56419.2173		47612.4431		40913.2570		35880.2532		31123.2707		28176.0157		24972.1504		20822.2791		17887.9915		13230.9723		10603.8296		8921.5498		
