%H field first colomn	Temp row	DeltaTad array	Corrected for demagnetization using the Anaroni demagnetization factor	 NaN means no data	 Interpolated from 6 field measurement
0.0000		  255			  256			  257			  258			  259			  260			  261			  262			  263			  264			  265			  266			  267			  268			  269			  270			  271			  272			  273			  274			  275			  276			  277			  278			  279			  280			  281			  282			  283			  284			  285			  286			  287			  288			  289			  290			  291			  292			  293			  294			  295			  296			  297			  298			  299			  300			  301			  302			  303			  304			  305			  306			  307			  308			  
 0.100		  0.0325		  0.0459		  0.0434		  0.0449		  0.0466		  0.0507		  0.0475		  0.0499		  0.0516		  0.0508		  0.0544		  0.1408		  0.1079		  0.1025		  0.1129		  0.1123		  0.1013		  0.1073		  0.1174		  0.1294		  0.1325		  0.1297		  0.1469		  0.1575		  0.1597		  0.1796		  0.1908		  0.2027		  0.2176		  0.2462		  0.2652		  0.2774		  0.3032		  0.3135		  0.3170		  0.3003		  0.2633		  0.2184		  0.1743		  0.1387		  0.1113		  0.0876		  0.0718		  0.0592		  0.0498		  0.0459		  0.0515		  0.0454		  0.0385		  0.0329		  0.0292		  0.0255		  0.0227		  0.0224		
 0.110		  0.0358		  0.0505		  0.0478		  0.0494		  0.0513		  0.0558		  0.0522		  0.0548		  0.0568		  0.0558		  0.0599		  0.1429		  0.1130		  0.1092		  0.1207		  0.1211		  0.1105		  0.1176		  0.1291		  0.1424		  0.1458		  0.1427		  0.1616		  0.1732		  0.1757		  0.1976		  0.2099		  0.2229		  0.2394		  0.2709		  0.2918		  0.3051		  0.3335		  0.3449		  0.3487		  0.3303		  0.2897		  0.2402		  0.1917		  0.1525		  0.1224		  0.0964		  0.0789		  0.0651		  0.0548		  0.0505		  0.0567		  0.0500		  0.0423		  0.0362		  0.0321		  0.0281		  0.0250		  0.0246		
 0.120		  0.0390		  0.0551		  0.0521		  0.0539		  0.0560		  0.0608		  0.0570		  0.0598		  0.0619		  0.0609		  0.0653		  0.1449		  0.1175		  0.1148		  0.1263		  0.1271		  0.1180		  0.1253		  0.1368		  0.1516		  0.1564		  0.1547		  0.1761		  0.1890		  0.1916		  0.2155		  0.2290		  0.2432		  0.2611		  0.2955		  0.3183		  0.3328		  0.3638		  0.3762		  0.3804		  0.3603		  0.3160		  0.2620		  0.2091		  0.1664		  0.1335		  0.1051		  0.0861		  0.0711		  0.0598		  0.0551		  0.0618		  0.0545		  0.0461		  0.0395		  0.0351		  0.0306		  0.0273		  0.0269		
 0.130		  0.0423		  0.0597		  0.0564		  0.0584		  0.0606		  0.0659		  0.0617		  0.0648		  0.0671		  0.0660		  0.0708		  0.1470		  0.1221		  0.1204		  0.1319		  0.1331		  0.1254		  0.1329		  0.1444		  0.1596		  0.1648		  0.1643		  0.1859		  0.2011		  0.2060		  0.2332		  0.2480		  0.2635		  0.2829		  0.3201		  0.3448		  0.3606		  0.3941		  0.4076		  0.4121		  0.3903		  0.3423		  0.2839		  0.2266		  0.1803		  0.1446		  0.1139		  0.0933		  0.0770		  0.0647		  0.0597		  0.0670		  0.0591		  0.0500		  0.0428		  0.0380		  0.0332		  0.0295		  0.0291		
 0.140		  0.0455		  0.0643		  0.0608		  0.0629		  0.0653		  0.0710		  0.0665		  0.0698		  0.0723		  0.0711		  0.0762		  0.1491		  0.1267		  0.1259		  0.1375		  0.1391		  0.1328		  0.1406		  0.1519		  0.1676		  0.1731		  0.1739		  0.1957		  0.2119		  0.2180		  0.2457		  0.2637		  0.2829		  0.3047		  0.3447		  0.3713		  0.3883		  0.4244		  0.4389		  0.4438		  0.4204		  0.3686		  0.3057		  0.2440		  0.1941		  0.1558		  0.1226		  0.1005		  0.0829		  0.0697		  0.0643		  0.0721		  0.0636		  0.0538		  0.0461		  0.0409		  0.0357		  0.0318		  0.0314		
 0.150		  0.0488		  0.0689		  0.0651		  0.0674		  0.0700		  0.0761		  0.0712		  0.0748		  0.0774		  0.0761		  0.0817		  0.1511		  0.1313		  0.1315		  0.1432		  0.1450		  0.1402		  0.1483		  0.1594		  0.1756		  0.1814		  0.1836		  0.2055		  0.2226		  0.2300		  0.2583		  0.2773		  0.2978		  0.3225		  0.3686		  0.3979		  0.4160		  0.4548		  0.4703		  0.4755		  0.4504		  0.3950		  0.3275		  0.2614		  0.2080		  0.1669		  0.1314		  0.1076		  0.0888		  0.0747		  0.0689		  0.0773		  0.0682		  0.0577		  0.0494		  0.0438		  0.0383		  0.0341		  0.0336		
 0.160		  0.0520		  0.0735		  0.0695		  0.0719		  0.0746		  0.0811		  0.0760		  0.0798		  0.0826		  0.0812		  0.0871		  0.1532		  0.1359		  0.1371		  0.1488		  0.1510		  0.1476		  0.1560		  0.1669		  0.1835		  0.1898		  0.1932		  0.2153		  0.2334		  0.2420		  0.2708		  0.2910		  0.3128		  0.3382		  0.3852		  0.4198		  0.4438		  0.4851		  0.5016		  0.5072		  0.4804		  0.4213		  0.3494		  0.2788		  0.2219		  0.1780		  0.1402		  0.1148		  0.0947		  0.0797		  0.0735		  0.0825		  0.0727		  0.0615		  0.0527		  0.0468		  0.0408		  0.0363		  0.0358		
 0.170		  0.0553		  0.0780		  0.0738		  0.0764		  0.0793		  0.0862		  0.0807		  0.0847		  0.0877		  0.0863		  0.0925		  0.1552		  0.1404		  0.1427		  0.1544		  0.1570		  0.1550		  0.1637		  0.1745		  0.1915		  0.1981		  0.2028		  0.2251		  0.2441		  0.2540		  0.2833		  0.3046		  0.3277		  0.3539		  0.4018		  0.4374		  0.4660		  0.5154		  0.5330		  0.5389		  0.5104		  0.4476		  0.3712		  0.2963		  0.2357		  0.1891		  0.1489		  0.1220		  0.1007		  0.0847		  0.0781		  0.0876		  0.0773		  0.0654		  0.0559		  0.0497		  0.0434		  0.0386		  0.0381		
 0.180		  0.0585		  0.0826		  0.0781		  0.0809		  0.0840		  0.0913		  0.0855		  0.0897		  0.0929		  0.0914		  0.0980		  0.1573		  0.1450		  0.1483		  0.1600		  0.1630		  0.1624		  0.1714		  0.1820		  0.1995		  0.2064		  0.2124		  0.2349		  0.2549		  0.2660		  0.2958		  0.3182		  0.3426		  0.3695		  0.4184		  0.4551		  0.4859		  0.5360		  0.5629		  0.5706		  0.5405		  0.4740		  0.3931		  0.3137		  0.2496		  0.2003		  0.1577		  0.1292		  0.1066		  0.0897		  0.0827		  0.0928		  0.0818		  0.0692		  0.0592		  0.0526		  0.0459		  0.0409		  0.0403		
 0.190		  0.0618		  0.0872		  0.0825		  0.0854		  0.0886		  0.0963		  0.0902		  0.0947		  0.0981		  0.0964		  0.1034		  0.1594		  0.1496		  0.1539		  0.1656		  0.1690		  0.1698		  0.1791		  0.1895		  0.2075		  0.2148		  0.2221		  0.2447		  0.2656		  0.2780		  0.3084		  0.3318		  0.3575		  0.3852		  0.4350		  0.4728		  0.5058		  0.5563		  0.5848		  0.5983		  0.5705		  0.5003		  0.4149		  0.3311		  0.2635		  0.2114		  0.1664		  0.1363		  0.1125		  0.0946		  0.0873		  0.0979		  0.0864		  0.0731		  0.0625		  0.0555		  0.0485		  0.0432		  0.0426		
 0.200		  0.0650		  0.0918		  0.0868		  0.0899		  0.0933		  0.1014		  0.0950		  0.0997		  0.1032		  0.1015		  0.1089		  0.1614		  0.1542		  0.1595		  0.1712		  0.1750		  0.1773		  0.1868		  0.1970		  0.2155		  0.2231		  0.2317		  0.2545		  0.2764		  0.2900		  0.3209		  0.3455		  0.3725		  0.4009		  0.4516		  0.4904		  0.5257		  0.5767		  0.6067		  0.6202		  0.5953		  0.5266		  0.4367		  0.3486		  0.2773		  0.2225		  0.1752		  0.1435		  0.1184		  0.0996		  0.0919		  0.1031		  0.0909		  0.0769		  0.0658		  0.0584		  0.0510		  0.0454		  0.0448		
 0.210		  0.0683		  0.0964		  0.0912		  0.0944		  0.0980		  0.1065		  0.0997		  0.1047		  0.1084		  0.1066		  0.1143		  0.1635		  0.1587		  0.1651		  0.1769		  0.1809		  0.1847		  0.1945		  0.2046		  0.2235		  0.2314		  0.2413		  0.2643		  0.2871		  0.3020		  0.3334		  0.3591		  0.3874		  0.4165		  0.4682		  0.5081		  0.5456		  0.5970		  0.6285		  0.6421		  0.6168		  0.5485		  0.4582		  0.3660		  0.2912		  0.2336		  0.1839		  0.1507		  0.1244		  0.1046		  0.0965		  0.1082		  0.0954		  0.0808		  0.0691		  0.0614		  0.0536		  0.0477		  0.0470		
 0.220		  0.0715		  0.1010		  0.0955		  0.0989		  0.1026		  0.1116		  0.1045		  0.1097		  0.1135		  0.1117		  0.1198		  0.1655		  0.1633		  0.1707		  0.1825		  0.1869		  0.1921		  0.2022		  0.2121		  0.2315		  0.2398		  0.2509		  0.2741		  0.2979		  0.3140		  0.3459		  0.3727		  0.4023		  0.4322		  0.4848		  0.5258		  0.5655		  0.6173		  0.6504		  0.6640		  0.6383		  0.5697		  0.4784		  0.3840		  0.3053		  0.2448		  0.1927		  0.1579		  0.1303		  0.1096		  0.1011		  0.1134		  0.1000		  0.0846		  0.0724		  0.0643		  0.0561		  0.0500		  0.0493		
 0.230		  0.0748		  0.1056		  0.0998		  0.1034		  0.1073		  0.1166		  0.1092		  0.1147		  0.1187		  0.1167		  0.1252		  0.1676		  0.1679		  0.1763		  0.1881		  0.1929		  0.1995		  0.2099		  0.2196		  0.2395		  0.2481		  0.2606		  0.2839		  0.3086		  0.3260		  0.3584		  0.3864		  0.4173		  0.4478		  0.5014		  0.5434		  0.5854		  0.6377		  0.6723		  0.6858		  0.6598		  0.5910		  0.4985		  0.4024		  0.3221		  0.2587		  0.2032		  0.1653		  0.1362		  0.1146		  0.1057		  0.1185		  0.1045		  0.0885		  0.0757		  0.0672		  0.0587		  0.0522		  0.0515		
 0.240		  0.0780		  0.1102		  0.1042		  0.1079		  0.1119		  0.1217		  0.1140		  0.1196		  0.1239		  0.1218		  0.1307		  0.1697		  0.1725		  0.1819		  0.1937		  0.1989		  0.2069		  0.2176		  0.2271		  0.2475		  0.2565		  0.2702		  0.2937		  0.3194		  0.3380		  0.3710		  0.4000		  0.4322		  0.4635		  0.5180		  0.5611		  0.6054		  0.6580		  0.6942		  0.7077		  0.6813		  0.6122		  0.5187		  0.4208		  0.3388		  0.2739		  0.2169		  0.1772		  0.1456		  0.1219		  0.1115		  0.1237		  0.1091		  0.0923		  0.0790		  0.0701		  0.0613		  0.0545		  0.0538		
