Data from https://doi.org/10.1016/j.apmt.2021.101023
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
223.96	863.82
223.97	863.87
223.98	863.92
223.99	863.97
224	864.02
224.01	864.06
224.02	864.11
224.03	864.16
224.04	864.21
224.05	864.26
224.06	864.31
224.07	864.35
224.08	864.4
224.09	864.45
224.1	864.5
224.11	864.55
224.12	864.59
224.13	864.64
224.14	864.69
224.15	864.74
224.16	864.79
224.17	864.84
224.18	864.88
224.19	864.93
224.2	864.98
224.21	865.03
224.22	865.08
224.23	865.13
224.24	865.17
224.25	865.22
224.26	865.27
224.27	865.32
224.28	865.37
224.29	865.41
224.3	865.46
224.31	865.51
224.32	865.56
224.33	865.61
224.34	865.66
224.35	865.7
224.36	865.75
224.37	865.8
224.38	865.85
224.39	865.9
224.4	865.95
224.41	865.99
224.42	866.04
224.43	866.09
224.44	866.14
224.45	866.19
224.46	866.23
224.47	866.28
224.48	866.33
224.49	866.38
224.5	866.43
224.51	866.48
224.52	866.52
224.53	866.57
224.54	866.62
224.55	866.67
224.56	866.72
224.57	866.77
224.58	866.81
224.59	866.86
224.6	866.91
224.61	866.96
224.62	867.01
224.63	867.05
224.64	867.1
224.65	867.15
224.66	867.2
224.67	867.25
224.68	867.3
224.69	867.34
224.7	867.39
224.71	867.44
224.72	867.49
224.73	867.54
224.74	867.58
224.75	867.63
224.76	867.68
224.77	867.73
224.78	867.78
224.79	867.83
224.8	867.87
224.81	867.92
224.82	867.97
224.83	868.02
224.84	868.07
224.85	868.12
224.86	868.16
224.87	868.21
224.88	868.26
224.89	868.31
224.9	868.36
224.91	868.4
224.92	868.45
224.93	868.5
224.94	868.55
224.95	868.6
224.96	868.65
224.97	868.69
224.98	868.74
224.99	868.79
225	868.84
225.01	868.89
225.02	868.94
225.03	868.98
225.04	869.03
225.05	869.08
225.06	869.13
225.07	869.18
225.08	869.22
225.09	869.27
225.1	869.32
225.11	869.37
225.12	869.42
225.13	869.47
225.14	869.51
225.15	869.56
225.16	869.61
225.17	869.66
225.18	869.71
225.19	869.76
225.2	869.8
225.21	869.85
225.22	869.9
225.23	869.95
225.24	870
225.25	870.04
225.26	870.09
225.27	870.14
225.28	870.19
225.29	870.24
225.3	870.29
225.31	870.33
225.32	870.38
225.33	870.43
225.34	870.48
225.35	870.53
225.36	870.57
225.37	870.62
225.38	870.67
225.39	870.72
225.4	870.77
225.41	870.82
225.42	870.86
225.43	870.91
225.44	870.96
225.45	871.01
225.46	871.06
225.47	871.11
225.48	871.15
225.49	871.2
225.5	871.25
225.51	871.3
225.52	871.35
225.53	871.39
225.54	871.44
225.55	871.49
225.56	871.54
225.57	871.59
225.58	871.64
225.59	871.68
225.6	871.73
225.61	871.78
225.62	871.83
225.63	871.88
225.64	871.93
225.65	871.97
225.66	872.02
225.67	872.07
225.68	872.12
225.69	872.17
225.7	872.21
225.71	872.26
225.72	872.31
225.73	872.36
225.74	872.41
225.75	872.46
225.76	872.5
225.77	872.55
225.78	872.6
225.79	872.65
225.8	872.7
225.81	872.75
225.82	872.79
225.83	872.84
225.84	872.89
225.85	872.94
225.86	872.99
225.87	873.03
225.88	873.08
225.89	873.13
225.9	873.18
225.91	873.23
225.92	873.28
225.93	873.32
225.94	873.37
225.95	873.42
225.96	873.47
225.97	873.52
225.98	873.57
225.99	873.61
226	873.66
226.01	873.71
226.02	873.76
226.03	873.81
226.04	873.85
226.05	873.9
226.06	873.95
226.07	874
226.08	874.05
226.09	874.1
226.1	874.14
226.11	874.19
226.12	874.24
226.13	874.29
226.14	874.34
226.15	874.38
226.16	874.43
226.17	874.48
226.18	874.53
226.19	874.58
226.2	874.63
226.21	874.67
226.22	874.72
226.23	874.77
226.24	874.82
226.25	874.87
226.26	874.92
226.27	874.96
226.28	875.01
226.29	875.06
226.3	875.11
226.31	875.16
226.32	875.2
226.33	875.25
226.34	875.3
226.35	875.35
226.36	875.4
226.37	875.45
226.38	875.49
226.39	875.54
226.4	875.59
226.41	875.64
226.42	875.69
226.43	875.74
226.44	875.78
226.45	875.83
226.46	875.88
226.47	875.93
226.48	875.98
226.49	876.02
226.5	876.07
226.51	876.12
226.52	876.17
