0	0	0.5	0.75	1	1.25	1.5
238	539.08	525.48	531.58	529.94	533.53	529.01
238.12	539.08	525.48	531.58	529.94	533.53	529.01
238.24	539.08	525.48	531.58	529.94	533.53	529.01
238.36	539.08	525.48	531.58	529.94	533.53	529.01
238.47	539.08	525.48	531.58	529.94	533.53	529.01
238.59	539.08	525.48	531.58	529.94	533.53	529.01
238.71	539.08	524.8	530.62	529.94	532.13	528.03
238.83	538.17	520.36	527.11	526.83	524.59	525.01
238.95	539.16	523.74	527.58	529.64	529.01	530.13
239.07	537.15	522.91	525.62	526.76	529.86	528.82
239.19	535.16	522.46	526.98	526.24	529.22	530.32
239.3	534.73	520.2	525.65	529.9	528.63	525.37
239.42	534.47	522.9	531.87	525.38	526.15	531.28
239.54	537.34	523	529.53	527.78	528.05	532.59
239.66	540.42	524.62	527.02	528.59	526.93	529.58
239.78	538.2	530.04	528.36	526.33	529.27	532.11
239.9	535.92	532.19	530.76	528.4	529.47	533.29
240.02	535.86	525.72	530.52	522.62	525.55	533.35
240.13	537.52	525.27	530.92	527.78	531.8	535.6
240.25	538.64	529.23	528.93	525.86	534.26	530.65
240.37	542.51	533.57	530.83	525.12	533.99	530.74
240.49	543.31	533.23	531.12	531.64	533.81	534.95
240.61	544.13	533.01	529.22	528.76	530.06	531.74
240.73	544.88	535.09	525.42	530.7	535.35	533.6
240.85	545.55	533.7	523.79	535.12	530.91	532.64
240.96	543.16	537.93	525.05	534.96	532.16	534.43
241.08	542.16	539.64	522.27	529.4	530.9	534.68
241.2	541.26	535.75	524.72	529.89	532.74	532.35
241.32	545.18	537.97	528.21	536.54	533.88	531.54
241.44	543.8	532.61	532.86	531.98	535.79	534.28
241.56	543.21	535.38	532.82	530.19	535.51	536.58
241.68	542.45	536.07	532.06	532.75	535.03	534.65
241.79	544.27	541.97	536.79	534.68	535.67	535.97
241.91	542.61	540.47	538.65	533.98	538.47	536.1
242.03	544.95	538.11	538.2	534.1	539.92	538.14
242.15	545.8	539.93	539.19	538.71	541.89	537.85
242.27	548.66	540.16	537.06	536.45	538.27	537.09
242.39	545.89	536.53	537.19	531.77	539.17	535.28
242.51	541.2	541.18	537.53	530.99	537.41	536.27
242.62	545.39	535.33	537.42	532.93	538.15	533.16
242.74	542.6	536.92	538.83	534.54	536.49	532.01
242.86	545.72	541.68	539.74	535.52	539.99	535.8
242.98	545.07	537.58	538.96	537.56	539.32	539.16
243.1	545.42	535.92	537.05	540.62	538.76	536.5
243.22	549.45	543.26	538.73	542.24	541.33	539.14
243.34	550.63	541.8	539.18	543.21	539.63	540.52
243.45	552.43	545.58	537.7	538.26	541.58	540.3
243.57	551.03	540.1	539.5	539.45	540.14	536.57
243.69	554.06	542.84	542.48	540.82	542.09	539.45
243.81	551.6	541.01	542.15	540.2	541.69	537.69
243.93	546.61	542.44	538.59	536.74	541.37	538.79
244.05	548.67	544.31	544.35	539.39	542.25	539.55
244.17	548.02	541.7	545.33	541.7	541.9	537.2
244.28	548.31	543.82	539.72	542.15	539.31	537.36
244.4	550.29	540.55	542.12	539.86	544.38	538.82
244.52	550.74	540.95	544.33	540.68	538.25	538.21
244.64	547.51	540.68	543.11	538.11	538.69	540.41
244.76	550.43	543.93	545.02	538.79	536.03	539.6
244.88	549.35	547.57	546.24	536.5	542.14	543.65
245	549.43	545.44	542.92	532.97	535.65	542.22
245.11	550.67	544.17	541.63	537.56	537.25	539.16
245.23	548.18	540.33	540.28	536.7	532.57	539.95
245.35	549.36	542.36	540.83	538.86	533.99	539.09
245.47	550.09	543.39	543.85	540.14	536.36	540.97
245.59	548.28	543.06	546.08	538.55	539.28	540.5
245.71	548.31	540.4	541.05	541.32	532.61	539.55
245.83	545.11	544.55	544.11	537.5	536.69	541.24
245.94	551.37	547.22	547.01	540.57	536.68	542.66
246.06	550.24	549.75	546.89	542.87	535.56	544.22
246.18	550.59	550.24	544.57	544.25	538.33	543.87
246.3	547.97	549.35	544.28	542.31	540.43	540.92
246.42	549.33	547.36	545.38	545.01	535.92	542.83
246.54	544.25	544.06	543.52	545.47	534.86	542.67
246.66	546.34	545.51	542.98	543.99	535.1	540.82
246.77	549.53	544.51	547.59	549.15	537.44	542.07
246.89	546.27	544.39	545.25	549.18	542.32	548.69
247.01	542.24	547.42	545.07	547.94	540.43	541.12
247.13	549.44	546.82	547.82	544.97	543.61	543.48
247.25	552.16	547.86	548.06	551.54	542.93	545.01
247.37	554.19	547.23	546.35	546.43	542.58	547.88
247.49	554.68	549.82	546.07	544.21	543.27	547.09
247.6	554.35	550.31	545.1	545.02	545.46	547.68
247.72	552.94	549.54	544.3	549	539.23	546.55
