Data from VACUUMSCHMELZE GmbH & Co. KG, Germany (https://vacuumschmelze.com)
Specific heat capacity at B = 0.5 T
Temperature(K)	Heat capacity(J/kg/K)

238.7002554	525.4809118
238.8002554	519.383658
238.9002554	522.6634554
239.0002554	524.8836458
239.1002554	521.9273449
239.2002554	522.5503607
239.3002554	520.0593864
239.4002554	523.5739011
239.5002554	520.5785502
239.6002554	526.4712344
239.7002554	523.3671613
239.8002554	531.8867874
239.9002554	532.1989768
240.0002554	526.3332774
240.1002554	522.3804245
240.2002554	530.8675239
240.3002554	527.7609216
240.4002554	535.9261876
240.5002554	532.9267653
240.6002554	532.7487756
240.7002554	535.9237747
240.8002554	532.8123508
240.9002554	534.7648652
241.0002554	539.7158233
241.1002554	539.6182676
241.2002554	535.7142891
241.3002554	539.150706
241.4002554	533.1808898
241.5002554	531.6898824
241.6002554	538.1680211
241.7002554	535.3861985
241.8002554	542.3884065
241.9002554	540.8959117
242.0002554	537.4961775
242.1002554	539.4608463
242.2002554	540.4078972
242.3002554	540.0412492
242.4002554	535.9950237
242.5002554	541.536
242.6002554	535.0777147
242.7002554	536.1103757
242.8002554	538.0223431
242.9002554	544.0080207
243.0002554	535.945508
243.1002554	535.9190788
243.2002554	544.168834
243.3002554	538.7812888
243.4002554	547.2851214
243.5002554	544.122771
243.6002554	538.5884559
243.7002554	543.2496251
243.8002554	540.9938741
243.9002554	541.1220477
244.0002554	545.7857233
244.1002554	542.6287859
244.2002554	541.2161415
244.3002554	544.3091875
244.4002554	540.5458981
244.5002554	540.7854106
244.6002554	541.5686216
244.7002554	539.3228597
244.8002554	547.222593
244.9002554	547.674512
245.0002554	545.328905
245.1002554	544.9651883
245.2002554	539.3109892
245.3002554	542.4457706
245.4002554	542.2740247
245.5002554	543.8732588
245.6002554	542.9529883
245.7002554	540.1049926
245.8002554	544.4294026
245.9002554	544.8933489
246.0002554	550.183494
246.1002554	549.4961423
246.2002554	550.4122611
246.3002554	549.3520227
246.4002554	548.150627
246.5002554	543.8346729
246.6002554	544.4427034
246.7002554	546.3633027
246.8002554	543.8553879
246.9002554	544.4307633
247.0002554	547.4495692
247.1002554	547.1939056
247.2002554	545.9267317
247.3002554	549.9224857
247.4002554	545.8965645
247.5002554	550.4915495
247.6002554	550.3607723
247.7002554	549.0792868
247.8002554	551.132449
247.9002554	549.3931622
248.0002554	547.0146589
248.1002554	551.4829149
248.2002554	547.5278967
248.3002554	553.4701642
248.4002554	550.6212442
248.5002554	551.3265263
248.6002554	547.2392988
248.7002554	551.1042729
248.8002554	551.8852796
248.9002554	550.7071693
249.0002554	552.3604432
249.1002554	548.3735343
249.2002554	550.4309166
249.3002554	548.0321808
249.4002554	551.0397022
249.5002554	545.3088241
249.6002554	551.8344603
249.7002554	547.0641151
249.8002554	548.433341
249.9002554	550.6756486
250.0002554	545.3386306
250.1002554	547.5885422
250.2002554	547.2335623
250.3002554	551.1639477
250.4002554	555.2461218
250.5002554	560.5037526
250.6002554	552.8964407
250.7002554	553.4734814
250.8002554	555.4481719
250.9002554	551.4136243
251.0002554	550.2529513
251.1002554	552.3865069
251.2002554	554.306525
251.3002554	554.1525246
251.4002554	560.8601216
251.5002554	554.5120742
251.6002554	557.4283855
251.7002554	554.9190249
251.8002554	558.3146739
251.9002554	557.5713584
252.0002554	558.560434
252.1002554	555.0796588
252.2002554	556.6423575
252.3002554	561.2391957
252.4002554	559.5636058
252.5002554	558.0700373
252.6002554	558.067781
252.7002554	558.5221798
252.8002554	556.2203884
252.9002554	554.5100672
253.0002554	557.9901456
253.1002554	554.2253519
253.2002554	556.655781
253.3002554	553.3953564
253.4002554	549.9427137
253.5002554	549.1216134
253.6002554	554.075535
253.7002554	550.1256295
253.8002554	553.5461059
253.9002554	554.4543448
254.0002554	556.6374924
254.1002554	552.3563578
254.2002554	555.5045453
254.3002554	556.2362283
254.4002554	557.6330218
254.5002554	558.6998755
254.6002554	558.3496333
254.7002554	556.8506454
254.8002554	554.1484673
254.9002554	558.4292646
255.0002554	553.4902744
255.1002554	554.8152083
255.2002554	558.5222272
255.3002554	554.6731455
255.4002554	555.188102
255.5002554	550.0033597
255.6002554	550.7741849
255.7002554	556.6304388
255.8002554	555.5043441
255.9002554	553.5220583
256.0002554	556.9434902
256.1002554	559.7104775
256.2002554	559.4372284
256.3002554	563.3588615
256.4002554	556.2570141
256.5002554	565.7798203
256.6002554	564.503016
256.7002554	562.8564431
256.8002554	564.9294876
256.9002554	563.8452063
257.0002554	564.0543556
257.1002554	567.7938371
257.2002554	558.3127219
257.3002554	562.5460769
257.4002554	564.1405514
257.5002554	562.2176264
257.6002554	561.2626178
257.7002554	564.7491517
257.8002554	561.5913521
257.9002554	568.0684351
258.0002554	568.1098373
258.1002554	568.5754666
258.2002554	568.4508617
258.3002554	566.2095465
258.4002554	567.3839365
258.5002554	567.8131942
258.6002554	566.980276
258.7002554	566.9688357
258.8002554	568.71981
258.9002554	570.2133112
259.0002554	565.6048673
259.1002554	565.3103285
259.2002554	567.5931421
259.3002554	565.4339396
259.4002554	563.9716552
259.5002554	565.9231798
259.6002554	564.1237704
259.7002554	564.0027727
259.8002554	565.1823205
259.9002554	569.9835061
260.0002554	573.4002291
260.1002554	567.8495336
260.2002554	568.5840129
260.3002554	569.5176594
260.4002554	574.2477636
260.5002554	569.5872435
260.6002554	573.9686669
260.7002554	576.0559708
260.8002554	571.1065014
260.9002554	575.1224485
261.0002554	571.3248625
261.1002554	565.8376879
261.2002554	570.8998224
261.3002554	574.7097924
261.4002554	572.943138
