Data from https://doi.org/10.1038/s41467-019-09730-9
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
358.01	2492.98
358	2494.14
357.98	2495.68
357.96	2496.44
357.95	2496.87
357.93	2498.28
357.92	2501.63
357.9	2503.46
357.88	2505.14
357.87	2506.76
357.85	2506.7
357.83	2508.37
357.82	2509.93
357.8	2510.73
357.78	2510.97
357.77	2511.12
357.75	2511.23
357.74	2512.36
357.72	2513.6
357.7	2514.56
357.69	2514.63
357.67	2514.23
357.66	2514.87
357.64	2517.1
357.62	2518.49
357.61	2520.28
357.59	2522.42
357.57	2524.49
357.56	2525.93
357.54	2526.17
357.52	2527.03
357.51	2527.34
357.49	2527.49
357.47	2527.63
357.46	2528.55
357.44	2530.07
357.43	2531.42
357.41	2532.17
357.39	2532.69
357.38	2532.61
357.36	2532.54
357.35	2532.76
357.33	2533.32
357.31	2533.26
357.3	2533.17
357.28	2533.64
357.26	2535.06
357.25	2536.99
357.23	2538.77
357.22	2539.84
357.2	2540.76
357.18	2541.32
357.17	2542.03
357.15	2544.1
357.13	2546.03
357.12	2546.8
357.1	2546.94
357.08	2546.54
357.07	2546.76
357.05	2547.17
357.04	2547.32
357.02	2547.86
357	2548.21
356.99	2548.43
356.97	2549.06
356.95	2550.73
356.94	2552.41
356.92	2553.56
356.91	2554.38
356.89	2555.2
356.87	2555.8
356.86	2556.37
356.84	2557.38
356.82	2557.75
356.81	2557.85
356.79	2557.74
356.77	2557.94
356.76	2558.31
356.74	2558.3
356.73	2558.25
356.71	2558.28
356.69	2558.53
356.68	2559.04
356.66	2559.61
356.65	2560.26
356.63	2561.09
356.61	2561.63
356.59	2562.29
356.58	2563.12
356.56	2563.61
356.55	2564.3
356.53	2564.81
356.51	2565.26
356.5	2565.9
356.48	2566.17
356.46	2566.39
356.45	2567
356.43	2567.49
356.41	2568.25
356.4	2569.26
356.38	2569.74
356.36	2570.11
356.35	2570.4
356.33	2570.31
356.31	2570.37
356.3	2570.54
356.28	2570.71
356.27	2570.96
356.25	2571.34
356.24	2571.96
356.22	2573.15
356.2	2574.25
356.19	2575.03
356.17	2575.6
356.15	2575.7
356.13	2575.86
356.12	2576.23
356.1	2576.4
