Data from https://doi.org/10.1039/D0TA05399F
Upon heating
Temperature(K)	Heat capacity(J/kg/K)
153.95	260.63
153.96	260.67
153.97	260.71
153.98	260.74
153.99	260.78
154	260.82
154.01	260.86
154.02	260.89
154.03	260.93
154.04	260.97
154.05	261.01
154.06	261.04
154.07	261.08
154.08	261.12
154.09	261.16
154.1	261.19
154.11	261.23
154.12	261.27
154.13	261.31
154.14	261.34
154.15	261.38
154.16	261.42
154.17	261.45
154.18	261.49
154.19	261.53
154.2	261.57
154.21	261.6
154.22	261.64
154.23	261.68
154.24	261.72
154.25	261.75
154.26	261.79
154.27	261.83
154.28	261.87
154.29	261.9
154.3	261.94
154.31	261.98
154.32	262.02
154.33	262.05
154.34	262.09
154.35	262.13
154.36	262.16
154.37	262.2
154.38	262.24
154.39	262.28
154.4	262.31
154.41	262.35
154.42	262.39
154.43	262.43
154.44	262.46
154.45	262.5
154.46	262.54
154.47	262.58
154.48	262.61
154.49	262.65
154.5	262.69
154.51	262.72
154.52	262.76
154.53	262.8
154.54	262.84
154.55	262.87
154.56	262.91
154.57	262.95
154.58	262.99
154.59	263.02
154.6	263.06
154.61	263.1
154.62	263.14
154.63	263.17
154.64	263.21
154.65	263.25
154.66	263.29
154.67	263.32
154.68	263.36
154.69	263.4
154.7	263.43
154.71	263.47
154.72	263.51
154.73	263.55
154.74	263.58
154.75	263.62
154.76	263.66
154.77	263.7
154.78	263.73
154.79	263.77
154.8	263.81
154.81	263.85
154.82	263.88
154.83	263.92
154.84	263.96
154.85	264
154.86	264.03
154.87	264.07
154.88	264.11
154.89	264.14
154.9	264.18
154.91	264.22
154.92	264.26
154.93	264.29
154.94	264.33
154.95	264.37
154.96	264.41
154.97	264.44
154.98	264.48
154.99	264.52
155	264.56
155.01	264.59
155.02	264.63
155.03	264.67
155.04	264.7
155.05	264.74
155.06	264.78
155.07	264.82
155.08	264.85
155.09	264.89
155.1	264.93
155.11	264.97
155.12	265
155.13	265.04
155.14	265.08
155.15	265.12
155.16	265.15
155.17	265.19
155.18	265.23
155.19	265.27
155.2	265.3
155.21	265.34
155.22	265.38
155.23	265.41
155.24	265.45
155.25	265.49
155.26	265.53
155.27	265.56
155.28	265.6
155.29	265.64
155.3	265.68
155.31	265.71
155.32	265.75
155.33	265.79
155.34	265.83
155.35	265.86
155.36	265.9
155.37	265.94
155.38	265.98
155.39	266.01
155.4	266.05
155.41	266.09
155.42	266.12
155.43	266.16
155.44	266.2
155.45	266.24
155.46	266.27
155.47	266.31
155.48	266.35
155.49	266.39
155.5	266.42
155.51	266.46
155.52	266.5
155.53	266.54
155.54	266.57
155.55	266.61
155.56	266.65
155.57	266.69
155.58	266.72
155.59	266.76
155.6	266.8
155.61	266.83
155.62	266.87
155.63	266.91
155.64	266.95
155.65	266.98
155.66	267.02
155.67	267.06
155.68	267.1
155.69	267.13
155.7	267.17
155.71	267.21
155.72	267.25
155.73	267.28
155.74	267.32
155.75	267.36
155.76	267.4
155.77	267.43
155.78	267.47
155.79	267.51
155.8	267.54
155.81	267.58
155.82	267.62
155.83	267.66
155.84	267.69
155.85	267.73
155.86	267.77
155.87	267.81
155.88	267.84
155.89	267.88
155.9	267.92
155.91	267.96
155.92	267.99
155.93	268.03
155.94	268.07
155.95	268.11
155.96	268.14
155.97	268.18
155.98	268.22
155.99	268.25
156	268.29
156.01	268.33
156.02	268.37
156.03	268.4
156.04	268.44
156.05	268.48
156.06	268.52
156.07	268.55
156.08	268.59
156.09	268.63
156.1	268.67
156.11	268.7
156.12	268.74
156.13	268.78
156.14	268.81
156.15	268.85
156.16	268.89
156.17	268.93
156.18	268.96
156.19	269
156.2	269.04
156.21	269.08
156.22	269.11
156.23	269.15
156.24	269.19
156.25	269.23
156.26	269.26
156.27	269.3
156.28	269.34
156.29	269.38
156.3	269.41
156.31	269.45
156.32	269.49
156.33	269.52
156.34	269.56
156.35	269.6
156.36	269.64
156.37	269.67
156.38	269.71
156.39	269.75
156.4	269.79
156.41	269.82
156.42	269.86
156.43	269.9
156.44	269.94
156.45	269.97
156.46	270.01
156.47	270.05
156.48	270.09
156.49	270.12
156.5	270.16
156.51	270.2
156.52	270.23
156.53	270.27
156.54	270.31
156.55	270.35
156.56	270.38
156.57	270.42
156.58	270.46
156.59	270.5
156.6	270.53
156.61	270.57
156.62	270.61
156.63	270.65
156.64	270.68
156.65	270.72
156.66	270.76
156.67	270.8
156.68	270.83
156.69	270.87
156.7	270.91
156.71	270.94
156.72	270.98
156.73	271.02
156.74	271.06
156.75	271.09
156.76	271.13
156.77	271.17
156.78	271.21
156.79	271.24
156.8	271.28
156.81	271.32
156.82	271.36
156.83	271.39
156.84	271.43
156.85	271.47
156.86	271.51
156.87	271.54
156.88	271.58
156.89	271.62
156.9	271.65
156.91	271.69
156.92	271.73
156.93	271.77
156.94	271.8
156.95	271.84
156.96	271.88
156.97	271.92
156.98	271.95
156.99	271.99
157	272.03
157.01	272.07
157.02	272.1
157.03	272.14
157.04	272.18
157.05	272.22
