Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature(K)	Thermal conductivity(W/m/K)

3.70	11.04
7.40	147.19
11.10	342.96
28.36	392.27
59.19	278.93
64.12	234.04
78.91	189.88
110.97	147.19
181.26	103.77
247.84	91.26
336.62	76.54
408.14	69.92
491.99	60.35
586.93	58.88
676.94	56.67
803.58	48.71
944.21	51.25
1050.74	42.35
1144.49	46.17
1272.34	47.44
1361.82	52.52
1489.67	55.07
1615.38	56.34
1709.13	55.07
1822.06	55.07
1969.08	55.07
