Data from https://doi.org/10.1103/PhysRevMaterials.3.044406
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
258.9	481.02
259	480.6
259.1	480.97
259.2	480.3
259.3	480.16
259.4	480.11
259.5	480.62
259.6	480.16
259.7	480.03
259.8	479.94
259.9	479.95
260	479.88
260.1	479.84
260.2	479.87
260.3	479.65
260.4	479.54
260.5	479.37
260.6	479.3
260.7	479.54
260.8	479.55
260.9	479.28
261	479.13
261.1	479.08
261.2	479.04
261.3	478.96
261.4	478.9
261.5	478.89
261.6	478.9
261.7	478.8
261.8	478.75
261.9	478.62
262	478.57
262.1	478.53
262.2	478.42
262.3	478.38
262.4	478.33
262.5	478.28
262.6	478.25
262.7	478.22
262.8	478.13
262.9	239.22
263	478.16
263.1	478.13
263.2	478.15
263.3	478.13
263.4	478.15
263.5	478.09
263.6	478.1
263.7	478.15
263.8	478.08
263.9	478.15
264	478.16
264.1	478.16
264.2	478.17
264.3	478.13
264.4	478.13
264.5	478.14
264.6	478.15
264.7	478.16
264.8	478.17
264.9	478.17
265	478.18
265.1	478.19
265.2	478.2
265.3	478.21
265.4	478.22
265.5	478.22
265.6	478.23
265.7	478.24
265.8	478.25
265.9	478.26
266	478.27
266.1	478.28
266.2	478.28
266.3	478.29
266.4	478.3
266.5	478.31
266.6	478.32
266.7	478.33
266.8	478.33
266.9	478.34
267	478.35
267.1	478.36
267.2	478.37
267.3	478.38
267.4	478.38
267.5	478.39
267.6	478.4
267.7	478.41
267.8	478.42
267.9	478.43
268	478.43
268.1	478.44
268.2	478.45
268.3	478.46
268.4	478.47
268.5	478.48
268.6	478.48
268.7	478.49
268.8	478.5
268.9	478.51
269	478.52
269.1	478.53
269.2	478.54
269.3	478.54
269.4	478.55
269.5	478.56
269.6	478.57
269.7	478.58
269.8	478.59
269.9	478.59
270	478.6
270.1	478.61
270.2	478.62
270.3	478.63
270.4	478.64
270.5	478.64
270.6	478.65
270.7	478.66
270.8	478.67
270.9	478.68
271	478.69
271.1	478.69
271.2	478.7
271.3	478.71
271.4	478.72
