Data from Chen 2019 (10.1016/j.actamat.2019.07.033)
Isothermal entropy change at stress application, 600 MPa. From cooling curves using Maxwell relation.
Temperature(K)	Isothermal entropy change(J/kg/K)

150.00	-5.65
151.00	-5.71
152.00	-5.79
153.00	-5.87
154.00	-5.96
155.00	-6.04
156.00	-6.10
157.00	-6.17
158.00	-6.23
159.00	-6.29
160.00	-6.36
161.00	-6.42
162.00	-6.49
163.00	-6.55
164.00	-6.62
165.00	-6.68
166.00	-6.75
167.00	-6.82
168.00	-6.89
169.00	-6.96
170.00	-7.02
171.00	-7.09
172.00	-7.16
173.00	-7.23
174.00	-7.31
175.00	-7.39
176.00	-7.47
177.00	-7.55
178.00	-7.64
179.00	-7.72
180.00	-7.80
181.00	-7.88
182.00	-7.96
183.00	-8.05
184.00	-8.14
185.00	-8.23
186.00	-8.32
187.00	-8.41
188.00	-8.51
189.00	-8.60
190.00	-8.69
191.00	-8.78
192.00	-8.87
193.00	-8.96
194.00	-9.04
195.00	-9.13
196.00	-9.21
197.00	-9.30
198.00	-9.38
199.00	-9.47
200.00	-9.55
201.00	-9.64
202.00	-9.72
203.00	-9.81
204.00	-9.91
205.00	-10.02
206.00	-10.13
207.00	-10.24
208.00	-10.34
209.00	-10.45
210.00	-10.56
211.00	-10.66
212.00	-10.81
213.00	-11.00
214.00	-11.19
215.00	-11.38
216.00	-11.57
217.00	-11.77
218.00	-11.96
219.00	-12.15
220.00	-12.34
221.00	-12.51
222.00	-12.69
223.00	-12.87
224.00	-13.04
225.00	-13.22
226.00	-13.40
227.00	-13.57
228.00	-13.75
229.00	-13.94
230.00	-14.12
231.00	-14.31
232.00	-14.50
233.00	-14.68
234.00	-14.87
235.00	-15.17
236.00	-15.48
237.00	-15.80
238.00	-16.12
239.00	-16.43
240.00	-16.75
241.00	-17.07
242.00	-17.44
243.00	-17.87
244.00	-18.31
245.00	-18.74
246.00	-19.17
247.00	-19.58
248.00	-19.98
249.00	-20.38
250.00	-20.77
251.00	-21.17
252.00	-21.57
253.00	-22.14
254.00	-22.77
255.00	-23.41
256.00	-24.05
257.00	-24.78
258.00	-25.51
259.00	-26.24
260.00	-26.97
261.00	-27.74
262.00	-28.59
263.00	-29.45
264.00	-30.40
265.00	-31.41
266.00	-32.42
267.00	-33.52
268.00	-34.63
269.00	-35.77
270.00	-37.24
271.00	-38.71
272.00	-39.89
273.00	-41.05
274.00	-42.12
275.00	-43.00
276.00	-43.89
277.00	-44.90
278.00	-46.15
279.00	-47.40
280.00	-48.27
281.00	-49.09
282.00	-49.88
283.00	-50.47
284.00	-51.06
285.00	-51.65
286.00	-52.23
287.00	-52.84
288.00	-53.47
289.00	-54.09
290.00	-54.39
291.00	-54.57
292.00	-54.74
293.00	-54.92
294.00	-55.02
295.00	-55.02
296.00	-55.02
297.00	-55.02
298.00	-55.02
299.00	-54.77
300.00	-54.45
301.00	-54.13
302.00	-53.48
303.00	-52.68
304.00	-51.92
305.00	-51.26
306.00	-50.59
307.00	-49.79
308.00	-48.84
309.00	-47.88
310.00	-46.75
311.00	-45.34
312.00	-43.99
313.00	-42.81
314.00	-41.64
315.00	-40.37
316.00	-39.01
317.00	-37.64
318.00	-36.05
319.00	-34.49
320.00	-33.03
321.00	-31.57
322.00	-30.60
323.00	-29.62
324.00	-28.23
325.00	-26.04
326.00	-24.99
327.00	-23.93
328.00	-22.83
329.00	-21.60
330.00	-20.37
331.00	-19.14
332.00	-17.97
333.00	-16.79
334.00	-15.66
335.00	-14.61
336.00	-13.55
337.00	-12.49
338.00	-11.67
339.00	-10.85
340.00	-10.02
341.00	-9.24
342.00	-8.53
343.00	-7.83
344.00	-7.17
345.00	-6.71
346.00	-6.24
347.00	-5.77
348.00	-5.38
349.00	-5.08
350.00	-4.78
351.00	-4.48
352.00	-4.18
353.00	-3.88
354.00	-3.58
355.00	-3.28
356.00	-3.02
357.00	-2.90
358.00	-2.79
359.00	-2.67
360.00	-2.55
361.00	-2.43
362.00	-2.26
363.00	-2.05
364.00	-1.84
365.00	-1.64
366.00	-1.43
367.00	-1.27
368.00	-1.18
369.00	-1.09
370.00	-1.00
371.00	-0.90
372.00	-0.81
373.00	-0.72
374.00	-0.64
375.00	-0.59
376.00	-0.54
377.00	-0.49
378.00	-0.44
379.00	-0.39
380.00	-0.34
381.00	-0.28
382.00	-0.22
383.00	-0.16
384.00	-0.11
385.00	-0.05
386.00	0.01
387.00	0.06
388.00	0.11
389.00	0.16
390.00	0.21
391.00	0.26
392.00	0.31
393.00	0.34
394.00	0.37
395.00	0.40
396.00	0.44
397.00	0.47
398.00	0.50
399.00	0.53
400.00	0.55
401.00	0.56
402.00	0.58
403.00	0.60
404.00	0.61
405.00	0.63
406.00	0.64
407.00	0.64
408.00	0.64
409.00	0.64
410.00	0.64
411.00	0.64
412.00	0.64
