Data from Chen 2019 (10.1016/j.actamat.2019.07.033)
Isothermal entropy change at stress removal, 400 MPa. From heating curves using Maxwell relation.
Temperature(K)	Isothermal entropy change(J/kg/K)

150.00	4.01
151.00	4.01
152.00	4.05
153.00	4.08
154.00	4.12
155.00	4.16
156.00	4.20
157.00	4.23
158.00	4.27
159.00	4.31
160.00	4.35
161.00	4.39
162.00	4.43
163.00	4.47
164.00	4.51
165.00	4.55
166.00	4.59
167.00	4.63
168.00	4.67
169.00	4.71
170.00	4.75
171.00	4.77
172.00	4.79
173.00	4.81
174.00	4.83
175.00	4.85
176.00	4.87
177.00	4.88
178.00	4.91
179.00	4.97
180.00	5.04
181.00	5.11
182.00	5.18
183.00	5.24
184.00	5.31
185.00	5.38
186.00	5.44
187.00	5.51
188.00	5.58
189.00	5.65
190.00	5.70
191.00	5.75
192.00	5.80
193.00	5.85
194.00	5.90
195.00	5.95
196.00	6.00
197.00	6.05
198.00	6.09
199.00	6.11
200.00	6.12
201.00	6.14
202.00	6.15
203.00	6.17
204.00	6.18
205.00	6.20
206.00	6.21
207.00	6.23
208.00	6.27
209.00	6.33
210.00	6.39
211.00	6.45
212.00	6.51
213.00	6.57
214.00	6.63
215.00	6.70
216.00	6.76
217.00	6.82
218.00	6.86
219.00	6.91
220.00	6.95
221.00	6.99
222.00	7.03
223.00	7.07
224.00	7.12
225.00	7.16
226.00	7.20
227.00	7.24
228.00	7.29
229.00	7.33
230.00	7.38
231.00	7.42
232.00	7.46
233.00	7.51
234.00	7.55
235.00	7.58
236.00	7.60
237.00	7.61
238.00	7.63
239.00	7.64
240.00	7.66
241.00	7.67
242.00	7.69
243.00	7.71
244.00	7.72
245.00	7.81
246.00	7.91
247.00	8.01
248.00	8.12
249.00	8.22
250.00	8.32
251.00	8.42
252.00	8.53
253.00	8.63
254.00	8.73
255.00	8.81
256.00	8.89
257.00	8.96
258.00	9.04
259.00	9.11
260.00	9.19
261.00	9.26
262.00	9.34
263.00	9.45
264.00	9.56
265.00	9.68
266.00	9.80
267.00	9.92
268.00	10.04
269.00	10.16
270.00	10.30
271.00	10.50
272.00	10.71
273.00	10.92
274.00	11.13
275.00	11.33
276.00	11.56
277.00	11.80
278.00	12.04
279.00	12.28
280.00	12.52
281.00	12.76
282.00	13.00
283.00	13.26
284.00	13.52
285.00	13.78
286.00	14.04
287.00	14.30
288.00	14.64
289.00	15.04
290.00	15.43
291.00	15.83
292.00	16.23
293.00	16.86
294.00	17.58
295.00	18.30
296.00	19.10
297.00	19.94
298.00	20.78
299.00	21.62
300.00	22.59
301.00	24.00
302.00	25.43
303.00	27.90
304.00	29.55
305.00	30.84
306.00	32.14
307.00	33.57
308.00	34.95
309.00	36.23
310.00	37.51
311.00	38.86
312.00	39.95
313.00	40.43
314.00	40.92
315.00	41.41
316.00	41.58
317.00	41.12
318.00	40.66
319.00	40.19
320.00	39.43
321.00	38.59
322.00	37.75
323.00	36.88
324.00	36.02
325.00	35.12
326.00	33.78
327.00	32.43
328.00	31.03
329.00	29.62
330.00	28.46
331.00	27.45
332.00	26.44
333.00	25.44
334.00	24.43
335.00	23.42
336.00	22.03
337.00	20.60
338.00	19.17
339.00	18.00
340.00	17.28
341.00	16.56
342.00	15.86
343.00	15.22
344.00	14.58
345.00	13.94
346.00	13.31
347.00	12.56
348.00	11.81
349.00	11.05
350.00	10.41
351.00	10.00
352.00	9.59
353.00	9.18
354.00	8.73
355.00	8.23
356.00	7.72
357.00	7.22
358.00	6.71
359.00	6.23
360.00	6.02
361.00	5.82
362.00	5.62
363.00	5.42
364.00	5.35
