Data from Chen 2019 (10.1016/j.actamat.2019.07.033)
Isothermal entropy change at stress application, 400 MPa. From cooling curves using Maxwell relation.
Temperature(K)	Isothermal entropy change(J/kg/K)

149.00	-3.83
150.00	-3.83
151.00	-3.85
152.00	-3.86
153.00	-3.87
154.00	-3.88
155.00	-3.90
156.00	-3.91
157.00	-3.92
158.00	-3.93
159.00	-3.95
160.00	-3.96
161.00	-4.00
162.00	-4.04
163.00	-4.07
164.00	-4.11
165.00	-4.15
166.00	-4.18
167.00	-4.22
168.00	-4.25
169.00	-4.29
170.00	-4.33
171.00	-4.38
172.00	-4.45
173.00	-4.53
174.00	-4.60
175.00	-4.68
176.00	-4.75
177.00	-4.82
178.00	-4.90
179.00	-4.97
180.00	-5.05
181.00	-5.12
182.00	-5.20
183.00	-5.27
184.00	-5.34
185.00	-5.42
186.00	-5.50
187.00	-5.58
188.00	-5.66
189.00	-5.74
190.00	-5.82
191.00	-5.90
192.00	-5.98
193.00	-6.06
194.00	-6.14
195.00	-6.22
196.00	-6.30
197.00	-6.37
198.00	-6.44
199.00	-6.51
200.00	-6.58
201.00	-6.65
202.00	-6.72
203.00	-6.79
204.00	-6.86
205.00	-6.93
206.00	-7.00
207.00	-7.07
208.00	-7.19
209.00	-7.33
210.00	-7.46
211.00	-7.60
212.00	-7.73
213.00	-7.86
214.00	-8.00
215.00	-8.13
216.00	-8.26
217.00	-8.40
218.00	-8.53
219.00	-8.67
220.00	-8.81
221.00	-8.95
222.00	-9.09
223.00	-9.22
224.00	-9.36
225.00	-9.50
226.00	-9.64
227.00	-9.78
228.00	-9.92
229.00	-10.11
230.00	-10.33
231.00	-10.54
232.00	-10.75
233.00	-10.97
234.00	-11.18
235.00	-11.40
236.00	-11.61
237.00	-11.82
238.00	-12.04
239.00	-12.27
240.00	-12.52
241.00	-12.78
242.00	-13.03
243.00	-13.28
244.00	-13.54
245.00	-13.79
246.00	-14.04
247.00	-14.30
248.00	-14.58
249.00	-14.99
250.00	-15.39
251.00	-15.80
252.00	-16.21
253.00	-16.62
254.00	-17.03
255.00	-17.46
256.00	-18.04
257.00	-18.62
258.00	-19.20
259.00	-19.78
260.00	-20.36
261.00	-21.29
262.00	-22.23
263.00	-23.17
264.00	-24.12
265.00	-25.08
266.00	-26.04
267.00	-27.01
268.00	-27.94
269.00	-28.85
270.00	-29.76
271.00	-30.67
272.00	-31.66
273.00	-33.07
274.00	-34.48
275.00	-35.46
276.00	-36.14
277.00	-36.81
278.00	-37.48
279.00	-38.39
280.00	-39.51
281.00	-39.71
282.00	-39.91
283.00	-40.11
284.00	-40.30
285.00	-40.50
286.00	-40.63
287.00	-40.25
288.00	-39.86
289.00	-39.48
290.00	-39.08
291.00	-38.46
292.00	-37.83
293.00	-37.20
294.00	-36.05
295.00	-34.70
296.00	-33.41
297.00	-32.18
298.00	-30.94
299.00	-29.71
300.00	-28.46
301.00	-26.98
302.00	-25.55
303.00	-24.29
304.00	-23.03
305.00	-21.68
306.00	-20.27
307.00	-18.90
308.00	-17.54
309.00	-16.23
310.00	-15.10
311.00	-14.01
312.00	-12.99
313.00	-11.98
314.00	-10.96
315.00	-10.06
316.00	-9.15
317.00	-8.36
318.00	-7.70
319.00	-7.05
320.00	-6.39
321.00	-5.74
322.00	-5.18
323.00	-4.88
324.00	-4.58
325.00	-4.29
326.00	-3.99
327.00	-3.73
328.00	-3.52
329.00	-3.31
330.00	-3.10
331.00	-2.88
332.00	-2.67
333.00	-2.46
334.00	-2.26
335.00	-2.12
336.00	-1.99
337.00	-1.86
338.00	-1.73
339.00	-1.60
340.00	-1.46
341.00	-1.32
342.00	-1.17
343.00	-1.03
344.00	-0.88
345.00	-0.74
346.00	-0.59
347.00	-0.53
348.00	-0.47
349.00	-0.42
350.00	-0.37
351.00	-0.31
352.00	-0.26
353.00	-0.21
354.00	-0.15
355.00	-0.09
356.00	-0.03
357.00	0.03
358.00	0.10
359.00	0.16
360.00	0.22
361.00	0.26
362.00	0.29
363.00	0.33
364.00	0.37
365.00	0.41
366.00	0.45
367.00	0.49
368.00	0.53
369.00	0.57
370.00	0.62
371.00	0.66
372.00	0.70
373.00	0.73
