Data from Chen 2019 (10.1016/j.actamat.2019.07.033)
Isothermal entropy change at stress removal, 200 MPa. From heating curves using Maxwell relation.
Temperature(K)	Isothermal entropy change(J/kg/K)

150.00	2.82
151.00	2.83
152.00	2.84
153.00	2.86
154.00	2.88
155.00	2.89
156.00	2.91
157.00	2.93
158.00	2.94
159.00	2.96
160.00	2.98
161.00	3.02
162.00	3.05
163.00	3.09
164.00	3.13
165.00	3.17
166.00	3.21
167.00	3.25
168.00	3.29
169.00	3.33
170.00	3.37
171.00	3.40
172.00	3.45
173.00	3.49
174.00	3.53
175.00	3.58
176.00	3.62
177.00	3.67
178.00	3.71
179.00	3.75
180.00	3.80
181.00	3.84
182.00	3.86
183.00	3.86
184.00	3.86
185.00	3.86
186.00	3.86
187.00	3.86
188.00	3.86
189.00	3.86
190.00	3.86
191.00	3.86
192.00	3.86
193.00	3.86
194.00	3.86
195.00	3.86
196.00	3.86
197.00	3.86
198.00	3.86
199.00	3.86
200.00	3.87
201.00	3.90
202.00	3.92
203.00	3.95
204.00	3.97
205.00	4.00
206.00	4.02
207.00	4.05
208.00	4.07
209.00	4.10
210.00	4.12
211.00	4.15
212.00	4.20
213.00	4.27
214.00	4.35
215.00	4.43
216.00	4.50
217.00	4.58
218.00	4.66
219.00	4.73
220.00	4.81
221.00	4.89
222.00	4.89
223.00	4.87
224.00	4.85
225.00	4.84
226.00	4.82
227.00	4.80
228.00	4.79
229.00	4.77
230.00	4.75
231.00	4.75
232.00	4.75
233.00	4.75
234.00	4.75
235.00	4.75
236.00	4.75
237.00	4.75
238.00	4.75
239.00	4.75
240.00	4.75
241.00	4.84
242.00	4.94
243.00	5.04
244.00	5.14
245.00	5.24
246.00	5.34
247.00	5.44
248.00	5.54
249.00	5.64
250.00	5.64
251.00	5.64
252.00	5.64
253.00	5.64
254.00	5.64
255.00	5.64
256.00	5.64
257.00	5.67
258.00	5.72
259.00	5.78
260.00	5.83
261.00	5.88
262.00	5.94
263.00	5.99
264.00	6.04
265.00	6.10
266.00	6.21
267.00	6.32
268.00	6.44
269.00	6.55
270.00	6.66
271.00	6.77
272.00	6.89
273.00	7.00
274.00	7.11
275.00	7.24
276.00	7.38
277.00	7.53
278.00	7.67
279.00	7.81
280.00	8.05
281.00	8.39
282.00	8.72
283.00	9.06
284.00	9.40
285.00	9.72
286.00	10.00
287.00	10.28
288.00	10.56
289.00	10.84
290.00	11.12
291.00	11.48
292.00	11.85
293.00	12.22
294.00	12.59
295.00	13.05
296.00	13.59
297.00	14.03
298.00	14.25
299.00	14.48
300.00	14.70
301.00	14.79
302.00	14.63
303.00	14.46
304.00	14.29
305.00	14.12
306.00	13.82
307.00	13.52
308.00	13.21
309.00	12.90
310.00	12.59
311.00	12.16
312.00	11.66
313.00	11.15
314.00	10.66
315.00	10.27
316.00	9.89
317.00	9.50
318.00	9.03
319.00	8.56
320.00	8.09
321.00	7.62
322.00	7.29
323.00	7.06
324.00	6.82
325.00	6.59
326.00	6.36
327.00	6.12
328.00	5.91
329.00	5.69
330.00	5.48
331.00	5.27
332.00	5.05
333.00	4.80
334.00	4.55
335.00	4.29
336.00	4.16
