Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Thermal conductivity (W/m/K)

0.00	0.99
5.97	35.03
17.91	141.86
50.75	66.34
89.55	61.37
158.21	58.39
223.88	55.90
340.30	53.91
459.70	53.42
564.18	53.17
734.33	53.42
877.61	56.15
1017.91	58.39
1146.27	58.88
1313.43	58.88
1495.52	60.37
1668.66	60.87
1868.66	61.12
2023.88	61.61
2200.00	61.61
2364.18	61.86
2519.40	62.36
2716.42	62.61
2904.48	59.13
3065.67	59.13
3188.06	59.13
