100	1039.73
110	1028.8
120	1021.95
130	1017.4
140	1014.25
150	1011.98
160	1010.31
170	1009.05
180	1008.08
190	1007.33
200	1006.75
210	1006.3
220	1005.96
230	1005.72
240	1005.58
250	1005.51
260	1005.52
270	1005.61
280	1005.78
290	1006.03
300	1006.35
310	1006.76
320	1007.24
330	1007.81
340	1008.46
350	1009.2
360	1010.02
370	1010.92
380	1011.91
390	1012.98
400	1014.13
410	1015.37
420	1016.69
430	1018.08
440	1019.56
450	1021.1
460	1022.72
470	1024.41
480	1026.17
490	1027.98
500	1029.86
510	1031.8
520	1033.78
530	1035.82
540	1037.91
550	1040.03
560	1042.2
570	1044.4
580	1046.64
590	1048.91
600	1051.2
610	1053.52
620	1055.85
630	1058.21
640	1060.58
650	1062.96
660	1065.35
670	1067.75
680	1070.15
690	1072.56
700	1074.97
710	1077.37
720	1079.78
730	1082.17
740	1084.57
750	1086.95
760	1089.32
770	1091.68
780	1094.03
790	1096.37
800	1098.69
810	1100.99
820	1103.28
830	1105.55
840	1107.81
850	1110.04
860	1112.26
870	1114.45
880	1116.62
890	1118.78
900	1120.91
910	1123.02
920	1125.11
930	1127.17
940	1129.22
950	1131.24
960	1133.24
970	1135.21
980	1137.16
990	1139.09
1000	1141
