%H field first colomn	Temp row	Cp array	Corrected for demagnetization using the Anaroni demagnetization factor	 NaN means no data	 Interpolated from 6 field measurement
0.0000		229			230			231			232			233			234			235			236			237			238			239			240			241			242			243			244			245			246			247			248			249			250			251			252			253			254			255			256			257			258			259			260			261			262			263			264			265			266			267			268			269			270			271			272			273			274			275			276			277			278			279			280			281			282			283			284			285			286			287			288			289			290			291			292			293			294			295			296			297			298			299			300			301			302			303			304			305			306			307			308			309			310			311			312			313			314			315			316			317			
 0.100		425.9401		426.9730		429.6011		431.3311		432.6993		433.6069		435.9768		436.7279		438.5854		440.6418		442.3430		444.5109		444.8776		447.8354		449.5346		451.6513		453.4821		458.6589		460.3454		461.1715		464.8786		467.6340		469.8860		472.3271		476.0632		479.2908		482.3643		487.9655		490.6849		494.8523		499.8963		504.2271		511.6091		514.4276		521.2117		527.4678		534.2428		541.7849		550.3414		559.6549		567.9133		579.6136		591.5827		603.9596		618.7148		633.2038		652.1402		670.4258		690.3894		713.7983		737.2835		764.4411		786.1480		805.4059		812.7631		804.3583		777.9555		735.5235		674.5999		632.2571		601.8367		578.3704		560.0289		544.7669		531.3256		524.9931		516.2935		508.7016		503.5829		498.3019		494.3861		489.5955		485.2314		483.5592		481.2818		479.0403		477.4871		476.5301		471.8748		472.2699		469.6716		467.1793		466.4863		466.0720		465.5495		463.7214		462.8527		461.8772		461.0412		
 0.110		425.9550		426.9953		429.5899		431.3438		432.7998		433.6441		435.9300		436.7434		438.6091		440.6111		442.3832		444.5307		444.8808		447.8935		449.5907		451.6915		453.5121		458.6513		460.3078		461.1952		464.9170		467.6534		469.8604		472.3464		476.0287		479.2312		482.3202		487.9170		490.6205		494.8221		499.8115		504.1470		511.4783		514.3234		521.0736		527.2791		534.0317		541.6119		550.0976		559.3602		567.5480		579.1899		591.1508		603.3595		618.1162		632.6130		651.4464		669.5878		689.4891		712.4549		735.1189		761.6350		782.9842		802.1245		809.8740		802.1521		776.9425		735.9493		677.8622		635.5347		604.5963		580.4734		561.5449		545.8020		532.0787		525.6547		516.8025		509.0727		503.8557		498.5239		494.5917		489.7344		485.3058		483.5889		481.3691		479.1149		477.4948		476.5995		471.9356		472.2024		469.6033		467.1890		466.4551		466.0456		465.4744		463.7227		462.8180		461.8473		461.0278		
 0.120		425.9698		427.0177		429.5787		431.3565		432.9002		433.6813		435.8831		436.7590		438.6329		440.5804		442.4235		444.5506		444.8840		447.9516		449.6467		451.7318		453.5420		458.6437		460.2702		461.2190		464.9554		467.6729		469.8348		472.3657		475.9941		479.1716		482.2761		487.8684		490.5561		494.7920		499.7267		504.0668		511.3476		514.2191		520.9355		527.0904		533.8206		541.4390		549.8538		559.0654		567.1826		578.7662		590.7190		602.7594		617.5176		632.0221		650.7527		668.7499		688.5887		711.3875		733.9302		759.8992		779.8845		798.8430		806.9850		799.9459		775.9296		736.3751		681.1244		638.8122		607.3558		582.5764		563.0610		546.8297		532.7956		526.3157		517.3313		509.3670		504.1285		498.7625		494.7829		489.8734		485.3802		483.6185		481.4341		479.1894		477.5177		476.6690		471.9965		472.1349		469.5351		467.1988		466.4437		466.0192		465.3992		463.7241		462.7832		461.8255		460.9932		
 0.130		425.9847		427.0400		429.5675		431.3692		433.0006		433.7185		435.8363		436.7746		438.6567		440.5496		442.4637		444.5705		444.8873		448.0098		449.7028		451.7721		453.5720		458.6360		460.2326		461.2427		464.9938		467.6924		469.8092		472.3850		475.9595		479.1120		482.2320		487.8199		490.4917		494.7619		499.6418		503.9866		511.2168		514.1148		520.7974		526.9017		533.6095		541.2661		549.6100		558.7707		566.8173		578.3426		590.2871		602.1593		616.9190		631.4312		650.0590		667.9120		687.6884		710.3201		732.7416		758.5880		778.5611		796.1426		804.0959		797.7397		774.9166		736.8009		684.3867		642.0898		610.1153		584.6794		564.5770		547.8574		533.5125		526.9767		517.8915		509.6612		504.4258		499.0010		494.9737		490.0317		485.4600		483.6704		481.4980		479.2740		477.5525		476.7163		472.0599		472.0803		469.4670		467.2049		466.4536		465.9985		465.3389		463.7223		462.7523		461.8131		460.9492		
 0.140		425.9996		427.0624		429.5564		431.3819		433.1011		433.7556		435.7894		436.7902		438.6804		440.5189		442.5040		444.5904		444.8905		448.0679		449.7588		451.8123		453.6020		458.6284		460.1950		461.2664		465.0322		467.7118		469.7836		472.4043		475.9250		479.0523		482.1879		487.7713		490.4273		494.7318		499.5570		503.9065		511.0861		514.0105		520.6593		526.7130		533.3984		541.0932		549.3662		558.4760		566.4520		577.9189		589.8552		601.5592		616.3203		630.8404		649.3653		667.0740		686.7881		709.2527		731.5529		757.2768		777.2378		794.8377		802.0158		795.5334		773.9036		737.2267		687.6489		645.3674		612.8748		586.7824		566.0930		548.8850		534.2294		527.6377		518.4517		509.9555		504.7269		499.2396		495.1645		490.1942		485.5429		483.7378		481.5619		479.3670		477.5874		476.7443		472.1232		472.0542		469.3991		467.1959		466.4636		465.9882		465.3044		463.7043		462.7335		461.8007		460.9052		
 0.150		426.0145		427.0847		429.5452		431.3946		433.2015		433.7928		435.7426		436.8058		438.7042		440.4881		442.5442		444.6103		444.8937		448.1261		449.8148		451.8526		453.6319		458.6208		460.1574		461.2902		465.0706		467.7313		469.7580		472.4236		475.8904		478.9927		482.1438		487.7228		490.3629		494.7016		499.4722		503.8263		510.9553		513.9062		520.5212		526.5244		533.1873		540.9203		549.1224		558.1812		566.0866		577.4952		589.4233		600.9591		615.7217		630.2495		648.6716		666.2361		685.8878		708.1853		730.3642		755.9657		775.9144		793.5328		800.8778		794.2023		772.8906		737.6525		690.9112		648.6449		615.6343		588.8854		567.6090		549.9127		534.9463		528.2987		519.0119		510.2497		505.0281		499.4781		495.3553		490.3568		485.6257		483.8053		481.6258		479.4601		477.6222		476.7723		472.1865		472.0281		469.3312		467.1870		466.4735		465.9780		465.2699		463.6863		462.7148		461.7883		460.8611		
 0.160		426.0294		427.1075		429.5340		431.4074		433.3020		433.8300		435.6957		436.8240		438.7405		440.4723		442.5845		444.6402		444.9084		448.1842		449.8792		451.8927		453.6637		458.6117		460.1198		461.3100		465.1090		467.7508		469.7324		472.4429		475.8558		478.9331		482.0996		487.6742		490.2985		494.6715		499.3873		503.7461		510.8246		513.8020		520.3832		526.3357		532.9763		540.7474		548.8786		557.8865		565.7213		577.0715		588.9914		600.3590		615.1231		629.6587		647.9778		665.3982		684.9874		707.1179		729.1755		754.6545		774.5910		792.2278		799.7399		793.5753		772.5120		738.0783		694.1734		651.9225		618.3938		590.9884		569.1250		550.9403		535.6632		528.9597		519.5721		510.5440		505.3293		499.7167		495.5461		490.5193		485.7085		483.8727		481.6897		479.5532		477.6571		476.8003		472.2499		472.0020		469.2634		467.1780		466.4835		465.9677		465.2353		463.6684		462.6961		461.7759		460.8171		
 0.170		426.0610		427.1346		429.5270		431.4260		433.3757		433.8686		435.7077		436.8434		438.7828		440.4736		442.6088		444.6851		444.9352		448.2408		449.9521		451.9325		453.7000		458.5999		460.0789		461.3246		465.1367		467.7702		469.7082		472.4603		475.8251		478.8735		482.0555		487.6257		490.2340		494.6160		499.3025		503.6627		510.6936		513.6977		520.2451		526.1470		532.7652		540.5745		548.6348		557.5917		565.3559		576.6478		588.5595		599.7589		614.5245		629.0678		647.2841		664.5603		684.0871		706.0506		727.9868		753.3433		773.2677		790.9229		798.6019		792.9482		772.5593		738.7061		697.4357		655.2001		621.1533		593.0914		570.6410		551.9680		536.3801		529.6207		520.1323		510.8382		505.6305		499.9552		495.7369		490.6818		485.7914		483.9402		481.7535		479.6463		477.6919		476.8283		472.3132		471.9759		469.1955		467.1690		466.4935		465.9575		465.2008		463.6504		462.6774		461.7635		460.7731		
 0.180		426.1016		427.1616		429.5205		431.4459		433.4357		433.9082		435.7396		436.8628		438.8252		440.4749		442.6056		444.7300		444.9619		448.2969		450.0250		451.9723		453.7362		458.5881		460.0254		461.3391		465.1645		467.7359		469.7032		472.4595		475.7955		478.8092		482.0141		487.5699		490.1685		494.5250		499.2160		503.5689		510.5576		513.5885		520.1070		525.9611		532.5762		540.3985		548.3843		557.2960		564.9906		576.2241		588.1276		599.1588		613.9258		628.4769		646.5904		663.7223		683.1868		704.9832		726.7982		752.0322		771.9443		789.6180		797.4639		792.3211		772.6065		739.4916		699.6615		658.4777		623.9129		595.1943		572.1570		552.9957		537.0970		530.2817		520.6925		511.1325		505.9316		500.1938		495.9277		490.8444		485.8742		484.0076		481.8174		479.7394		477.7267		476.8562		472.3766		471.9499		469.1276		467.1601		466.5034		465.9472		465.1663		463.6324		462.6586		461.7511		460.7291		
 0.190		426.1421		427.1887		429.5140		431.4657		433.4957		433.9478		435.7715		436.8822		438.8675		440.4761		442.6023		444.7749		444.9887		448.3530		450.0978		452.0121		453.7724		458.5763		459.9718		461.3536		465.1922		467.6902		469.6981		472.4587		475.7659		478.7425		481.9757		487.5066		490.1010		494.4339		499.1233		503.4750		510.4217		513.4792		519.9520		525.7791		532.4075		540.2195		548.1135		556.9922		564.6154		575.7911		587.7205		598.5637		613.3272		627.8861		645.8967		662.8844		682.2865		703.9158		725.6095		750.7210		770.6209		788.3130		796.3259		791.6940		772.6538		740.2771		701.1416		660.8118		626.6724		597.2973		573.6730		554.0233		537.8140		530.9427		521.2528		511.4267		506.2328		500.4323		496.1185		491.0069		485.9571		484.0751		481.8813		479.8324		477.7616		476.8842		472.4399		471.9238		469.0597		467.1511		466.5134		465.9370		465.1318		463.6145		462.6399		461.7387		460.6850		
