%H field first colomn	Temp row	Mag data array
0.1000		991286.8431		958768.4817		906459.6645		876729.7971		858912.6337		836787.0988		813606.8003		768304.1683		758912.7518		752651.8467		745494.9427		736567.1773		729229.9296		721010.4595		713794.7528		702187.1003		693032.8124		679728.9283		664266.6630		653468.3794		640534.9685		624237.4410		608136.3177		587084.6828		566718.3190		542592.0281		515867.8509		485992.8533		451733.4435		411582.9125		368769.0173		323380.5330		273179.2301		229091.6371		188138.7068		150375.5994		121389.5542		97080.9378		80286.4559		65836.1155		56195.3090		48676.1398		42318.8207		37794.7473		34019.0209		31002.2700		28337.9348		26156.7843		22762.3756		20193.0550		18263.1023		16791.0784		15580.2883		14579.3303		13764.6736		13075.9476		12503.4665		11953.6397		
0.1100		999894.7659		965999.2895		913925.1940		884404.4762		866470.4233		843916.3439		820153.2865		773273.5418		765398.7379		758770.7584		751902.4594		743101.3722		735379.7780		727105.5941		719969.3746		708637.8112		698858.6704		686449.4942		669814.6398		659185.2684		646468.8565		630358.7227		613529.7780		591539.3917		572685.2125		548304.4963		521630.6891		491437.7444		457399.6389		417227.1006		375125.1220		329897.2905		280165.1001		237537.6195		195192.9489		158388.5529		128746.6062		104335.3983		86191.9162		71905.2270		61106.6960		53041.5877		46223.6826		41315.8265		37179.4994		33877.1955		31028.3018		28645.4145		24934.4810		22136.0346		20021.9336		18407.5172		17062.3508		15971.6220		15061.4451		14313.2255		13685.8666		13098.2717		
0.1200		1007940.7930		973267.1481		920438.2476		890947.4742		872259.9922		850281.2727		826129.3443		778153.8173		771574.2126		764497.2155		757349.1963		749418.3566		741292.1115		732843.2443		725131.3911		714602.7676		703639.0649		692362.8699		675317.6750		664832.0753		652204.8582		636339.9391		618543.2807		596597.2626		577704.1332		553822.4187		526821.1909		496647.6770		462693.3266		422460.0792		380914.2808		336099.3382		286969.7762		245596.2678		201883.2119		165943.7674		135708.1014		111485.1981		91957.0686		77265.7326		65997.4960		57313.0941		50117.8057		44822.4327		40311.4452		36729.1456		33692.3405		31120.3912		27085.0497		24070.6738		21772.2780		19983.7957		18532.6621		17351.8147		16353.9963		15539.6387		14837.3252		14226.8969		
0.1300		1014984.5921		979985.6631		926013.2330		897000.7295		877673.8542		856037.2126		831561.9526		782776.5030		777230.8546		770066.3871		762266.8902		755163.3876		747041.8966		738228.5729		729813.0732		719479.5760		708632.9121		697444.8317		680767.0229		670413.9108		657918.6345		641862.4472		623293.6417		601989.6488		582152.3187		558739.4790		531446.9406		501927.2854		467958.8099		427865.1465		386203.7861		341947.2306		293633.3075		252504.9054		208444.0824		172865.2504		142495.8772		118027.9890		97620.8375		82296.1957		70904.9261		61539.3543		53967.0664		48311.6135		43427.0151		39576.0047		36336.0366		33578.0347		29217.1897		25985.3628		23511.0761		21561.9185		19986.7950		18718.0719		17642.3622		16757.9402		16014.2928		15343.8585		
0.1400		1021232.3583		985323.7772		931416.5366		902338.7389		882965.0370		861260.6825		836507.1251		787400.7675		782185.0575		775536.2027		767037.7671		760300.3084		752160.6870		743264.5490		734243.0668		724676.8775		713590.1084		702079.4163		686161.0730		675935.8860		663200.2695		646329.4563		627831.4028		607388.9398		586533.7822		563337.3136		535937.8361		506494.9521		472796.8116		433262.9092		391907.7169		347732.0584		300217.8091		258235.5681		214833.2738		179192.6153		149208.9882		124020.1943		103174.7991		87231.5709		75656.0644		65688.3510		57747.4013		51779.2505		46522.6437		42410.4288		38956.0916		36014.0531		31321.3942		27872.4691		25235.4157		23121.7591		21431.4092		20068.4382		18925.2504		17971.1022		17160.8169		16445.9497		
0.1500		1027160.5047		990513.2532		936602.5889		907170.9823		888098.5293		866016.7828		841011.4265		791956.0562		786397.4059		779794.0678		771828.5143		764884.6434		756292.4127		747943.6539		739034.7527		728703.7685		717874.6401		706357.4663		691509.1052		680319.7733		666362.8113		650323.5064		632189.6682		612448.9941		590871.2908		567771.8592		540342.6388		510854.0609		477450.6672		438626.5327		397174.2891		353358.4105		306500.9823		263423.5380		221146.5888		185055.0536		155428.4489		129766.4080		108599.0952		92160.2207		80122.9827		69666.5314		61447.9934		55163.0350		49608.4830		45232.5572		41535.7503		38425.7739		33448.0460		29741.4346		26938.9174		24673.1400		22862.5852		21404.5862		20202.6537		19175.6928		18301.7345		17531.4981		
0.1600		1032624.7206		995569.3932		941772.6503		911787.3539		893039.8719		870379.0155		845141.0474		796426.0050		790181.2043		783791.8540		776498.8772		768855.9035		760369.8139		752210.2466		743299.3620		732652.1502		722064.9873		710353.0727		696842.4141		684235.3486		670148.0606		654087.5449		636320.7565		616306.0182		595121.8709		571795.0547		544655.1892		515108.8266		481945.6836		443914.3750		401950.5154		358614.6818		312406.9549		269165.0567		227397.1153		190829.7175		161466.4743		135359.7642		113852.6321		97059.2321		84513.7739		73618.2618		65081.4919		58375.5557		52684.9097		48040.8772		44099.2948		40813.5573		35520.3390		31599.5405		28618.2955		26212.1307		24295.7184		22729.1635		21458.4275		20369.0104		19427.7882		18611.4658		
0.1700		1037555.2724		1000474.3748		946930.8101		916159.9767		897637.9336		874451.2638		849048.0617		800805.7076		793719.6989		787588.5539		780617.3498		772594.5252		764269.3350		756079.9642		747125.9744		736407.1520		726079.3549		714139.1771		702239.3734		688135.7509		673829.3645		657847.0396		640455.1984		620039.4133		599147.9207		575671.8959		548878.0976		519268.9329		486284.8040		449041.3092		406590.5776		363362.3858		317474.6810		274808.7473		233533.6206		196545.6933		166882.6320		140809.3469		118932.3245		101903.6744		88798.8924		77551.6872		68655.7630		61533.8084		55746.8598		50825.8178		46660.3615		43182.2375		37563.8259		33446.7411		30286.0531		27746.5964		25728.1894		24044.4525		22703.2546		21548.3670		20548.7142		19689.0456		
0.1800		1042142.6717		1005210.3379		951001.6452		920324.5429		901653.1260		878313.7010		852757.9578		804446.1301		796942.5144		791059.7065		784095.5740		776328.1442		767852.2943		759659.8957		750590.1108		739956.5541		729820.5512		717910.8397		705746.5154		691775.7058		677437.0302		661550.3396		644180.5905		623654.1548		602817.2562		579328.3954		553023.7277		523223.7429		490469.6976		453386.0912		411144.1324		367928.0439		322511.9294		280541.8658		239121.4468		202215.8033		172148.9675		146133.9860		123913.0733		106634.6784		92984.4849		81408.7937		72174.2096		64671.8968		58788.8245		53550.5613		49153.9991		45523.0410		39602.2348		35284.0092		31942.8803		29277.6978		27158.7472		25352.6372		23945.4023		22714.8020		21657.3387		20756.0038		
0.1900		1046546.2777		1009760.0563		954866.1208		924178.4818		905227.7253		882040.5727		856351.2124		807556.7630		799922.1307		794115.5041		787450.0055		779680.9340		771295.5031		763003.8046		754029.3475		743519.7858		733303.5607		721612.9874		709166.9922		695234.7435		680989.5363		665181.9742		647685.9892		627141.8308		606281.6531		582891.8380		556848.2868		526968.5809		494447.0933		457373.5644		415626.3253		372355.5146		327523.0503		285898.1955		244485.6901		207849.8599		177326.9320		151291.4404		128793.6815		111286.6921		97089.6168		85174.0093		75618.6872		67805.5022		61667.7220		56247.1820		51637.3751		47812.6497		41638.7841		37106.6177		33592.6705		30800.6965		28561.0523		26655.8136		25156.5398		23874.1571		22754.0161		21819.7656		
