%H field first colomn	Temp row	Ds array	Corrected for demagnetization using the Anaroni demagnetization factor	 NaN means no data
0.0000		127.73			177.66			212.56			227.43			237.33			247.10			256.87			262.30			263.35			264.37			265.37			266.35			267.31			268.29			269.28			270.28			271.29			272.31			273.29			274.26			275.27			276.27			277.25			278.23			279.25			280.23			281.16			282.14			283.14			284.14			285.14			286.12			287.14			288.12			289.07			290.05			291.03			292.02			293.00			293.96			294.93			295.91			296.88			297.86			298.84			299.82			300.80			302.28			304.23			306.18			308.11			310.03			311.94			313.86			315.80			317.75			319.72			
 0.110		 -0.0053		 -0.0116		 -0.0150		 -0.0190		 -0.0270		 -0.0472		 -0.0777		 -0.0644		 -0.1046		 -0.0859		 -0.0868		 -0.0843		 -0.1336		 -0.0885		 -0.1136		 -0.1370		 -0.1619		 -0.1717		 -0.1686		 -0.1883		 -0.2744		 -0.2354		 -0.2442		 -0.2853		 -0.3454		 -0.3045		 -0.4163		 -0.4918		 -0.5215		 -0.5300		 -0.5837		 -0.6093		 -0.5762		 -0.5525		 -0.4781		 -0.3769		 -0.2744		 -0.1997		 -0.1448		 -0.1035		 -0.0773		 -0.0572		 -0.0443		 -0.0357		 -0.0287		 -0.0229		 -0.0184		 -0.0150		 -0.0116		 -0.0085		 -0.0072		 -0.0058		 -0.0051		 -0.0038		 -0.0031		 -0.0026		     NaN		
 0.120		 -0.0062		 -0.0130		 -0.0170		 -0.0215		 -0.0305		 -0.0522		 -0.0840		 -0.0720		 -0.1139		 -0.0961		 -0.0975		 -0.0952		 -0.1456		 -0.1011		 -0.1271		 -0.1526		 -0.1786		 -0.1888		 -0.1871		 -0.2085		 -0.2962		 -0.2594		 -0.2711		 -0.3159		 -0.3799		 -0.3420		 -0.4600		 -0.5401		 -0.5749		 -0.5879		 -0.6437		 -0.6704		 -0.6368		 -0.6084		 -0.5274		 -0.4201		 -0.3092		 -0.2273		 -0.1665		 -0.1203		 -0.0903		 -0.0674		 -0.0522		 -0.0421		 -0.0338		 -0.0271		 -0.0218		 -0.0178		 -0.0138		 -0.0102		 -0.0086		 -0.0069		 -0.0059		 -0.0045		 -0.0037		 -0.0031		     NaN		
 0.130		 -0.0072		 -0.0145		 -0.0190		 -0.0241		 -0.0341		 -0.0570		 -0.0901		 -0.0795		 -0.1228		 -0.1060		 -0.1083		 -0.1063		 -0.1576		 -0.1139		 -0.1407		 -0.1682		 -0.1950		 -0.2058		 -0.2054		 -0.2290		 -0.3182		 -0.2837		 -0.2982		 -0.3468		 -0.4144		 -0.3795		 -0.5035		 -0.5882		 -0.6279		 -0.6454		 -0.7032		 -0.7312		 -0.6970		 -0.6641		 -0.5766		 -0.4639		 -0.3445		 -0.2555		 -0.1888		 -0.1380		 -0.1039		 -0.0781		 -0.0606		 -0.0490		 -0.0393		 -0.0317		 -0.0255		 -0.0208		 -0.0162		 -0.0121		 -0.0100		 -0.0080		 -0.0069		 -0.0052		 -0.0043		 -0.0036		     NaN		
 0.140		 -0.0081		 -0.0160		 -0.0211		 -0.0266		 -0.0377		 -0.0616		 -0.0959		 -0.0871		 -0.1315		 -0.1157		 -0.1191		 -0.1178		 -0.1695		 -0.1269		 -0.1544		 -0.1838		 -0.2112		 -0.2227		 -0.2237		 -0.2495		 -0.3401		 -0.3082		 -0.3255		 -0.3777		 -0.4488		 -0.4171		 -0.5468		 -0.6362		 -0.6806		 -0.7024		 -0.7623		 -0.7918		 -0.7569		 -0.7195		 -0.6260		 -0.5078		 -0.3801		 -0.2842		 -0.2119		 -0.1563		 -0.1182		 -0.0893		 -0.0697		 -0.0563		 -0.0452		 -0.0366		 -0.0294		 -0.0240		 -0.0187		 -0.0141		 -0.0115		 -0.0093		 -0.0079		 -0.0060		 -0.0050		 -0.0041		     NaN		
 0.150		 -0.0091		 -0.0175		 -0.0231		 -0.0291		 -0.0413		 -0.0662		 -0.1018		 -0.0945		 -0.1402		 -0.1254		 -0.1298		 -0.1292		 -0.1815		 -0.1400		 -0.1682		 -0.1992		 -0.2273		 -0.2397		 -0.2421		 -0.2701		 -0.3621		 -0.3330		 -0.3527		 -0.4087		 -0.4832		 -0.4549		 -0.5898		 -0.6839		 -0.7329		 -0.7588		 -0.8212		 -0.8520		 -0.8166		 -0.7747		 -0.6754		 -0.5518		 -0.4162		 -0.3134		 -0.2357		 -0.1752		 -0.1330		 -0.1011		 -0.0792		 -0.0641		 -0.0515		 -0.0418		 -0.0336		 -0.0274		 -0.0214		 -0.0162		 -0.0132		 -0.0106		 -0.0089		 -0.0069		 -0.0057		 -0.0047		     NaN		
 0.160		 -0.0101		 -0.0190		 -0.0252		 -0.0317		 -0.0450		 -0.0710		 -0.1077		 -0.1020		 -0.1489		 -0.1352		 -0.1404		 -0.1406		 -0.1937		 -0.1530		 -0.1820		 -0.2144		 -0.2435		 -0.2569		 -0.2607		 -0.2906		 -0.3843		 -0.3577		 -0.3796		 -0.4394		 -0.5175		 -0.4926		 -0.6325		 -0.7314		 -0.7849		 -0.8147		 -0.8799		 -0.9119		 -0.8760		 -0.8297		 -0.7250		 -0.5958		 -0.4526		 -0.3429		 -0.2601		 -0.1947		 -0.1483		 -0.1134		 -0.0892		 -0.0722		 -0.0581		 -0.0474		 -0.0381		 -0.0311		 -0.0243		 -0.0185		 -0.0150		 -0.0120		 -0.0101		 -0.0079		 -0.0065		 -0.0054		     NaN		
 0.170		 -0.0112		 -0.0206		 -0.0272		 -0.0343		 -0.0486		 -0.0760		 -0.1138		 -0.1094		 -0.1577		 -0.1451		 -0.1509		 -0.1519		 -0.2060		 -0.1660		 -0.1958		 -0.2293		 -0.2599		 -0.2741		 -0.2793		 -0.3111		 -0.4070		 -0.3823		 -0.4066		 -0.4700		 -0.5519		 -0.5301		 -0.6749		 -0.7786		 -0.8367		 -0.8703		 -0.9382		 -0.9716		 -0.9352		 -0.8845		 -0.7746		 -0.6399		 -0.4894		 -0.3729		 -0.2850		 -0.2148		 -0.1643		 -0.1262		 -0.0996		 -0.0807		 -0.0650		 -0.0532		 -0.0428		 -0.0349		 -0.0273		 -0.0209		 -0.0168		 -0.0135		 -0.0113		 -0.0089		 -0.0073		 -0.0061		     NaN		
 0.180		 -0.0122		 -0.0221		 -0.0293		 -0.0369		 -0.0523		 -0.0811		 -0.1200		 -0.1168		 -0.1667		 -0.1550		 -0.1613		 -0.1632		 -0.2184		 -0.1790		 -0.2096		 -0.2439		 -0.2762		 -0.2914		 -0.2981		 -0.3316		 -0.4300		 -0.4069		 -0.4334		 -0.5005		 -0.5862		 -0.5675		 -0.7170		 -0.8257		 -0.8884		 -0.9256		 -0.9960		 -1.0309		 -0.9941		 -0.9391		 -0.8241		 -0.6842		 -0.5265		 -0.4033		 -0.3102		 -0.2353		 -0.1807		 -0.1395		 -0.1104		 -0.0896		 -0.0723		 -0.0592		 -0.0478		 -0.0390		 -0.0306		 -0.0234		 -0.0188		 -0.0150		 -0.0126		 -0.0099		 -0.0082		 -0.0068		     NaN		
 0.190		 -0.0132		 -0.0237		 -0.0314		 -0.0395		 -0.0559		 -0.0863		 -0.1263		 -0.1243		 -0.1755		 -0.1650		 -0.1716		 -0.1745		 -0.2307		 -0.1919		 -0.2233		 -0.2586		 -0.2924		 -0.3087		 -0.3168		 -0.3522		 -0.4529		 -0.4315		 -0.4603		 -0.5309		 -0.6204		 -0.6047		 -0.7590		 -0.8724		 -0.9399		 -0.9806		 -1.0535		 -1.0899		 -1.0526		 -0.9935		 -0.8735		 -0.7286		 -0.5638		 -0.4340		 -0.3359		 -0.2564		 -0.1977		 -0.1533		 -0.1216		 -0.0988		 -0.0799		 -0.0656		 -0.0530		 -0.0432		 -0.0339		 -0.0261		 -0.0209		 -0.0167		 -0.0139		 -0.0110		 -0.0091		 -0.0076		     NaN		
 0.200		 -0.0142		 -0.0252		 -0.0335		 -0.0421		 -0.0596		 -0.0916		 -0.1325		 -0.1318		 -0.1844		 -0.1748		 -0.1818		 -0.1857		 -0.2429		 -0.2049		 -0.2370		 -0.2732		 -0.3087		 -0.3260		 -0.3354		 -0.3727		 -0.4757		 -0.4561		 -0.4872		 -0.5613		 -0.6545		 -0.6418		 -0.8008		 -0.9189		 -0.9912		 -1.0352		 -1.1107		 -1.1485		 -1.1108		 -1.0477		 -0.9229		 -0.7732		 -0.6014		 -0.4653		 -0.3620		 -0.2779		 -0.2152		 -0.1676		 -0.1332		 -0.1085		 -0.0878		 -0.0722		 -0.0585		 -0.0477		 -0.0375		 -0.0288		 -0.0230		 -0.0184		 -0.0153		 -0.0122		 -0.0101		 -0.0084		     NaN		
