Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Density (kg/m^3)

82.56	14465.96
258	13788.2
332.3	13618.76
400.41	13491.68
497.42	13322.24
600.62	13068.08
683.18	12750.38
796.7	12369.14
926.73	12136.16
1023.74	11797.28
1129	11521.94
1207.84	11272.01
1349.02	10789.11
1492.67	10306.2
1606.6	9442.06
1698.25	8806.66
1760.17	8069.59
1819.61	7103.78
1866.67	6112.56
1928.59	4994.25
1988.03	4028.44
2022.7	3062.63

