Data combined from Torres 2019 (10.1021/acs.jpcc.9b09299) and from Momenzadeh 2018 (10.1016/j.cocom.2018.e00342)
Temperature(K)	Thermal conductivity(W/m/K)

99.25	42.08
105.23	39.56
111.21	36.87
114.94	34.81
122.41	32.58
129.14	30.46
135.86	28.69
141.84	27.09
148.56	24.97
160.51	21.94
171.72	19.94
181.43	18.1
190.39	17.07
205.34	15.7
218.78	14.56
232.23	13.7
250.91	12.67
268.09	12.1
286.77	11.52
303.2	11.01
328.6	10.26
359.23	9.58
396.58	9.12
426.47	8.49
457.1	8.15
496.69	7.75
533.3	7.58
575.88	7.35
613.98	7.00
655.82	7.00
689.43	6.95
734.26	6.83
765.64	6.83
797.01	6.89

