Data from https://doi.org/10.1002/adma.201903577
Upon cooling
Temperature(K)	Heat capacity(J/kg/K)
159.37	341.22
159.41	341.27
159.44	341.3
159.47	341.32
159.51	341.34
159.54	341.38
159.57	341.43
159.61	341.49
159.64	341.53
159.67	341.55
159.71	341.58
159.74	341.64
159.77	341.73
159.81	341.85
159.84	341.98
159.88	342.11
159.91	342.22
159.94	342.31
159.98	342.4
160.01	342.51
160.04	342.59
160.08	342.66
160.11	342.67
160.14	342.62
160.18	342.58
160.21	342.58
160.24	342.59
160.28	342.57
160.31	342.48
160.34	342.37
160.38	342.26
160.41	342.1
160.44	341.88
160.48	341.67
160.51	341.53
160.55	341.48
160.58	341.48
160.61	341.52
160.64	341.6
160.68	341.69
160.71	341.77
160.74	341.84
160.78	341.91
160.81	341.99
160.85	342.07
160.88	342.13
160.91	342.16
160.95	342.11
160.98	341.99
161.01	341.91
161.05	341.9
161.08	341.92
161.11	341.94
161.15	341.98
161.18	342.01
161.21	342.04
161.25	342.06
161.28	342.09
161.31	342.15
161.35	342.23
161.38	342.32
161.42	342.39
161.45	342.41
161.48	342.4
161.51	342.42
161.55	342.49
161.58	342.59
161.61	342.75
161.65	342.88
161.68	342.97
161.72	343.05
161.75	343.11
161.78	343.16
161.82	343.19
161.85	343.23
161.88	343.29
161.92	343.36
161.95	343.42
161.98	343.47
162.02	343.5
162.05	343.51
162.08	343.47
162.12	343.3
162.15	343.07
162.19	342.97
162.22	343
162.25	343.06
162.29	343.11
162.32	343.15
162.35	343.2
162.39	343.28
162.42	343.38
162.45	343.5
162.49	343.6
162.52	343.67
162.55	343.73
162.59	343.76
162.62	343.78
162.65	343.78
162.69	343.77
162.72	343.74
162.75	343.72
162.79	343.73
162.82	343.75
162.85	343.77
162.89	343.75
162.92	343.7
162.95	343.67
162.99	343.72
163.02	343.76
163.06	343.79
163.09	343.8
163.13	343.81
163.16	343.83
163.19	343.86
163.22	343.92
163.26	343.98
163.29	344.05
163.32	344.12
163.36	344.18
163.39	344.25
163.42	344.32
163.46	344.38
163.49	344.43
163.52	344.49
163.56	344.56
163.59	344.6
163.62	344.56
163.66	344.42
163.69	344.25
163.73	344.16
163.76	344.18
163.79	344.23
163.82	344.3
163.86	344.36
163.89	344.41
163.93	344.47
163.96	344.51
163.99	344.53
164.03	344.53
164.06	344.53
164.09	344.54
164.13	344.58
164.16	344.61
164.19	344.65
164.23	344.69
164.26	344.71
164.3	344.74
164.33	344.78
164.36	344.82
164.4	344.85
164.43	344.88
164.46	344.9
164.5	344.89
164.53	344.84
164.56	344.82
164.6	344.84
164.63	344.88
164.66	344.93
164.7	344.99
164.73	345.04
164.76	345.08
164.8	345.13
164.83	345.18
164.86	345.25
164.9	345.31
164.93	345.38
164.96	345.45
165	345.51
165.03	345.56
165.07	345.56
165.1	345.55
165.13	345.56
165.17	345.6
165.2	345.64
165.23	345.66
165.27	345.65
165.3	345.65
165.33	345.68
165.37	345.71
165.4	345.75
165.43	345.78
165.47	345.8
165.5	345.84
165.53	345.9
165.57	345.97
165.6	346.07
165.64	346.16
165.67	346.22
165.7	346.28
165.73	346.35
165.77	346.41
165.8	346.47
165.84	346.52
165.87	346.58
165.9	346.63
165.94	346.69
165.97	346.74
166	346.79
166.03	346.84
166.07	346.9
166.1	346.97
166.14	347.03
166.17	347.09
166.2	347.13
166.24	347.13
166.27	347.11
166.3	347.1
166.34	347.12
166.37	347.17
166.4	347.23
166.44	347.19
166.47	347.02
166.51	346.83
166.54	346.74
166.57	346.72
166.6	346.77
166.64	346.83
166.67	346.88
166.7	346.91
166.74	346.92
166.77	346.89
166.81	346.86
166.84	346.9
166.87	347
166.91	347.11
166.94	347.22
166.97	347.3
167.01	347.37
167.04	347.42
167.07	347.47
167.11	347.53
167.14	347.6
167.17	347.66
167.21	347.71
167.24	347.75
167.27	347.74
167.31	347.67
167.34	347.54
167.37	347.41
167.41	347.36
167.44	347.38
167.48	347.42
167.51	347.46
167.54	347.52
167.57	347.58
167.61	347.67
167.64	347.76
167.68	347.86
167.71	347.95
167.74	348.04
167.78	348.12
167.81	348.18
167.84	348.2
167.88	348.2
167.91	348.18
167.94	348.2
167.98	348.26
168.01	348.32
168.04	348.36
168.08	348.3
168.11	348.14
168.14	348.03
168.18	348.05
168.21	348.1
168.24	348.13
168.28	348.18
168.31	348.24
168.35	348.34
168.38	348.47
168.41	348.57
168.45	348.63
168.48	348.68
168.51	348.74
168.55	348.83
168.58	348.92
168.61	348.99
168.65	349.02
168.68	349
168.71	348.97
168.75	348.93
168.78	348.93
168.81	348.96
168.85	348.95
168.88	348.91
168.91	348.9
168.95	348.88
168.98	348.88
169.01	348.9
169.05	348.94
169.08	349
169.12	349.06
169.15	349.09
169.18	349.12
169.22	349.17
169.25	349.26
169.28	349.35
169.32	349.42
169.35	349.47
169.38	349.52
169.42	349.58
169.45	349.64
169.48	349.67
169.52	349.66
169.55	349.63
169.59	349.64
169.62	349.7
169.65	349.78
169.68	349.86
169.72	349.91
169.75	349.9
169.79	349.84
169.82	349.75
169.85	349.71
169.89	349.71
169.92	349.7
169.95	349.67
169.99	349.68
170.02	349.71
170.05	349.74
170.08	349.78
170.12	349.82
170.15	349.86
170.19	349.93
170.22	350
170.25	350.09
170.29	350.16
170.32	350.22
170.36	350.25
170.39	350.27
170.42	350.29
170.45	350.32
170.49	350.38
170.52	350.45
170.55	350.5
170.59	350.53
170.62	350.55
170.65	350.58
170.69	350.62
170.72	350.66
170.75	350.68
170.79	350.7
170.82	350.73
170.85	350.79
170.89	350.85
170.92	350.91
170.96	350.96
170.99	351.01
171.02	351.06
171.06	351.11
171.09	351.14
171.12	351.16
171.16	351.18
171.19	351.2
171.22	351.23
171.26	351.27
171.29	351.29
171.32	351.3
171.36	351.33
171.39	351.38
171.42	351.41
171.46	351.38
171.49	351.22
171.53	350.96
171.56	350.7
171.59	350.59
171.62	350.62
171.66	350.65
171.69	350.67
171.73	350.68
171.76	350.71
171.79	350.75
171.82	350.8
171.86	350.84
171.89	350.86
171.93	350.86
171.96	350.83
171.99	350.82
172.02	350.86
172.06	350.91
172.09	350.97
172.13	351.03
172.16	351.08
172.19	351.12
172.23	351.13
172.26	351.15
172.29	351.17
172.33	351.19
172.36	351.21
172.39	351.2
172.43	351.15
172.46	351.13
172.5	351.14
172.53	351.12
172.56	351.08
172.6	351.03
172.63	351.01
172.66	351.03
172.7	351.05
172.73	351.07
172.76	351.11
172.8	351.17
172.83	351.25
172.86	351.32
172.9	351.37
172.93	351.42
172.96	351.47
173	351.53
173.03	351.59
173.06	351.67
173.1	351.75
173.13	351.82
173.17	351.89
173.2	351.95
173.23	352.01
173.26	352.06
173.3	352.09
173.33	352.11
173.37	352.12
173.4	352.1
173.43	352.09
173.46	352.13
