Data from https://doi.org/10.1002/adma.201903577
Upon heating
Temperature(K)	Heat capacity(J/kg/K)
159.83	377.17
159.86	377.05
159.89	377.17
159.92	377.34
159.95	377.51
159.99	377.66
160.02	377.81
160.06	377.92
160.09	377.98
160.12	378.04
160.15	378.12
160.19	378.18
160.22	378.3
160.25	378.51
160.29	378.87
160.32	379.45
160.35	380.09
160.39	380.6
160.42	380.97
160.45	381.28
160.48	381.56
160.52	381.84
160.55	382.06
160.58	382.22
160.62	382.36
160.65	382.5
160.69	382.65
160.72	382.88
160.75	383.1
160.78	383.2
160.82	383.14
160.85	383.08
160.88	382.97
160.92	382.79
160.95	382.7
160.98	382.64
161.01	382.58
161.05	382.57
161.08	382.56
161.11	382.6
161.15	382.7
161.18	382.79
161.22	382.74
161.25	382.46
161.28	382.16
161.31	382.13
161.35	382.34
161.38	382.63
161.41	382.85
161.44	382.96
161.48	382.96
161.51	382.83
161.54	382.62
161.58	382.48
161.61	382.5
161.64	382.61
161.68	382.8
161.71	383.03
161.74	383.17
161.78	383.27
161.81	383.42
161.84	383.6
161.88	383.82
161.91	384.09
161.94	384.36
161.98	384.63
162.01	384.92
162.04	385.12
162.08	385.3
162.11	385.48
162.14	385.65
162.18	385.82
162.21	385.94
162.24	385.93
162.27	385.77
162.3	385.39
162.34	384.91
162.37	384.61
162.41	384.42
162.44	384.18
162.47	383.93
162.51	383.84
162.54	383.97
162.57	384.33
162.61	384.85
162.64	385.42
162.67	385.96
162.71	386.37
162.74	386.59
162.77	386.67
162.81	387
162.84	387.56
162.87	387.98
162.9	388.25
162.94	388.43
162.97	388.58
163	388.79
163.04	388.99
163.07	389.24
163.1	389.61
163.14	390.01
163.17	390.34
163.2	390.49
163.24	390.29
163.27	389.99
163.3	389.81
163.33	389.71
163.37	389.55
163.4	389.3
163.43	389.09
163.46	389.04
163.5	389.06
163.53	389.11
163.57	389.21
163.6	389.29
163.63	389.25
163.66	388.7
163.7	387.72
163.73	387.07
163.77	387.1
163.8	387.47
163.83	387.91
163.86	388.56
163.9	389.41
163.93	390.4
163.96	391.57
164	392.57
164.03	393.26
164.06	393.65
164.1	393.66
164.13	393.43
164.16	393.22
164.2	393.16
164.23	393.22
164.26	393.3
164.3	393.36
164.33	393.43
164.36	393.49
164.39	393.54
164.43	393.57
164.46	393.62
164.5	393.71
164.53	393.78
164.56	393.8
164.6	393.79
164.63	393.69
164.66	393.59
164.69	393.57
164.73	393.57
164.76	393.48
164.79	393.22
164.83	392.9
164.86	392.6
164.89	392.37
164.92	392.17
164.96	392.08
164.99	392.22
165.03	392.56
165.06	392.91
165.09	393.14
165.12	393.17
165.16	393.04
165.19	392.94
165.22	392.94
165.26	393
165.29	393.18
165.32	393.42
165.36	393.6
165.39	393.8
165.42	394.02
165.46	394.3
165.49	394.69
165.52	394.99
165.56	395.2
165.59	395.41
165.62	395.57
165.66	395.56
165.69	395.23
165.72	394.74
165.76	394.44
165.79	394.08
165.82	393.5
165.86	392.92
165.89	392.49
165.92	392.15
165.96	391.82
165.99	391.64
166.02	391.69
166.05	391.87
166.09	392.08
166.12	392.23
166.16	392.31
166.19	392.35
166.22	392.38
166.25	392.47
166.29	392.65
166.32	392.84
166.35	392.95
166.39	392.92
166.42	392.82
166.45	392.83
166.49	393.07
166.52	393.63
166.55	394.28
166.58	394.65
166.62	394.74
166.65	394.69
166.68	394.65
166.72	394.68
166.75	394.75
166.78	394.8
166.82	394.73
166.85	394.61
166.89	394.57
166.92	394.53
166.95	394.49
166.98	394.49
167.02	394.41
167.05	394.13
167.08	393.78
167.12	393.49
167.15	393.35
167.18	393.16
167.22	392.75
167.25	392.19
167.28	391.63
167.32	391.34
167.35	391.33
167.38	391.41
167.42	391.49
167.45	391.7
167.48	391.91
167.51	392
167.55	392.15
167.58	392.52
167.62	393.07
167.65	393.58
167.68	393.78
167.71	393.63
167.75	393.11
167.78	392.25
167.81	391.37
167.85	390.84
167.88	390.76
167.91	390.93
167.95	391.11
167.98	391.23
168.01	391.36
168.05	391.53
168.08	391.7
168.11	391.9
168.14	392.04
168.18	391.88
168.21	391.38
168.25	390.72
168.28	390.2
168.31	390.24
168.35	390.81
168.38	391.6
168.41	392.44
168.44	393.21
168.48	393.96
168.51	394.61
168.55	395.12
168.58	395.55
168.61	396.05
168.65	396.58
168.68	397.06
168.71	397.4
168.74	397.62
168.78	397.77
168.81	397.86
168.84	397.84
168.88	397.77
168.91	397.81
168.94	397.97
168.98	398.1
169.01	398.04
169.04	397.49
169.08	396.48
169.11	395.48
169.14	394.71
169.18	394.06
169.21	393.34
169.24	392.54
169.27	391.54
169.31	390.36
169.34	389.1
169.38	387.99
169.41	387.52
169.44	387.75
169.48	388.14
169.51	388.28
169.54	388.26
169.58	388.25
169.61	388.3
169.64	388.41
169.67	388.63
169.71	389.02
169.74	389.47
169.77	389.8
169.81	389.97
169.84	390.05
169.87	390.13
169.91	390.31
169.94	390.63
169.98	390.93
170.01	391.06
170.04	391.09
170.07	391.18
170.11	391.39
170.14	391.65
170.17	391.91
170.21	392.05
170.24	392.07
170.28	391.99
170.31	391.86
170.34	391.69
170.37	391.54
170.41	391.49
170.44	391.47
170.47	391.38
170.51	391.28
170.54	391.19
170.57	391.24
170.61	391.47
170.64	391.82
170.67	392.19
170.7	392.53
170.74	392.76
170.77	392.66
170.8	391.44
170.84	389.27
170.87	387.56
170.9	386.73
170.94	386.39
170.97	386.32
171	386.54
171.04	386.87
171.07	387.18
171.1	387.44
171.14	387.68
171.17	388.06
171.2	388.77
171.24	389.83
171.27	390.88
171.3	391.59
171.34	392.09
171.37	392.57
171.4	393.03
171.44	393.47
171.47	393.73
171.5	393.71
171.54	393.5
171.57	393.36
171.6	393.41
171.64	393.55
171.67	393.75
171.7	393.9
171.74	393.96
171.77	394.04
171.8	394.22
171.84	394.35
171.87	394.26
171.9	393.89
171.94	393.47
171.97	393.26
172	393.01
172.04	392.52
172.07	391.92
172.1	391.23
172.13	390.66
172.17	390.52
172.2	390.56
172.23	390.6
172.27	390.61
172.3	390.46
172.33	390.28
172.37	390.16
172.4	390.13
172.43	390.24
172.47	390.43
172.5	390.62
172.53	390.83
172.57	391.14
172.6	391.41
172.63	391.57
172.66	391.76
172.7	391.91
172.73	392.02
172.77	392.19
172.8	392.33
172.83	392.36
172.87	392.21
172.9	392
172.93	391.87
172.97	391.73
173	391.55
173.03	391.16
173.06	390.37
173.1	389.41
173.13	388.76
173.16	388.53
173.2	388.57
173.23	388.8
173.26	388.93
173.3	388.68
173.33	388.02
173.36	387.38
173.4	387.06
173.43	387.04
173.46	387.18
173.5	387.28
173.53	387.27
173.56	387.21
173.6	387.3
173.63	387.42
173.66	387.47
173.7	387.65
173.73	388.08
173.76	388.75
173.8	389.42
173.83	389.69
173.86	389.45
173.9	388.65
173.93	387.45
173.96	386.62
174	386.35
174.03	386.27
174.06	386.33
174.1	386.46
174.13	386.53
174.16	386.61
174.2	386.68
174.23	386.64
174.26	386.61
174.3	386.67
174.33	386.81
174.36	386.98
174.39	387.15
174.43	387.33
174.46	387.5
174.5	387.64
174.53	387.74
174.56	387.8
174.59	387.93
174.63	388.28
174.66	388.77
174.69	389.24
174.73	389.58
174.76	389.72
174.79	389.65
174.83	389.52
174.86	389.5
174.89	389.58
174.93	389.68
174.96	389.6
174.99	389.32
175.03	389.06
175.06	388.9
175.09	388.74
175.13	388.46
175.16	388.09
175.19	387.79
175.23	387.69
175.26	387.63
175.29	387.52
175.33	387.24
175.36	386.83
175.39	386.48
175.43	386.27
175.46	386.12
175.49	385.86
175.53	385.36
175.56	384.85
175.59	384.7
175.63	384.86
175.66	385.22
175.69	385.69
175.73	386.16
175.76	386.59
175.79	386.79
175.82	386.73
175.86	386.65
175.89	386.91
175.92	387.36
175.96	387.67
175.99	387.82
176.02	387.89
176.06	387.87
176.09	387.8
176.12	387.81
176.16	387.84
176.19	387.75
176.22	387.57
176.26	387.4
176.29	387.35
176.32	387.44
176.36	387.55
176.39	387.57
176.42	387.39
176.46	386.94
176.49	386.54
176.52	386.4
176.56	386.4
176.59	386.46
176.62	386.53
176.66	386.61
176.69	386.79
176.72	386.98
176.76	387.1
176.79	387.18
176.82	387.24
176.86	387.28
176.89	387.31
176.92	387.18
176.96	386.54
176.99	385.17
177.02	383.43
177.05	381.93
177.09	380.94
177.12	380.41
177.15	379.91
177.19	379.27
177.22	378.83
177.26	378.75
177.29	378.89
177.32	379.11
177.36	379.43
