Data is averaged from all the data from NIST web application (https://trc.nist.gov/MetalsAlloyUI/).
Temperature (K)	Density (kg/m^3)

295.6	5312.84
1152.93	5707.78
1205.78	5652.27
1249.82	5607.17
1318.09	5564.38
1386.35	5511.18
1470.03	5461.45
1539.14	5397.68
1611.44	5341.73
1695.15	5273.78
1775.06	5191.85
1835.94	5133.89
